" ","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12"
"16371",46,0,0,0,0,0
"16372",3,0,0,0,0,0
"16373",46,0,17,0,0,0
"16374",4,0,0,0,0,0
"16401",108,8,10,0,0,0
"16402",12,0,0,0,0,0
"16403",118,8,3,3,0,0
"16404",20,1,0,0,0,0
"16405",21,0,0,0,0,0
"16406",40,0,0,0,0,0
"16407",146,0,0,0,0,0
"16410",48,0,0,0,0,0
"16411",6,0,0,0,0,0
"16412",75,16,0,0,0,0
"16415",134,0,0,0,0,0
"16416",0,0,0,0,0,0
"16417",201,0,0,0,0,0
"16420",7,0,0,0,0,0
"16421",47,0,16,0,0,0
"16422",0,0,0,0,0,0
"16423",85,0,0,0,0,0
"16424",64,0,0,0,0,0
"16426",12,0,0,0,0,0
"16427",3,0,0,0,0,0
"16428",136,0,0,0,0,0
"16433",45,32,6,0,0,0
"16434",24,0,0,0,0,0
"16435",41,0,5,0,0,0
"16436",7,0,0,1,0,0
"16438",77,2,0,0,0,0
"16440",12,0,0,0,0,0
"16441",146,0,0,0,0,0
"16442",36,0,0,0,0,0
"16443",10,0,0,0,0,0
"16444",0,0,0,0,0,0
"16501",7,8,0,0,0,0
"16502",107,18,19,0,0,0
"16503",69,52,85,0,1,0
"16504",285,0,22,0,0,0
"16505",147,0,0,0,0,1
"16506",344,0,0,0,0,0
"16507",7,27,18,0,0,0
"16508",188,0,0,0,5,0
"16509",301,23,24,0,0,0
"16510",265,12,46,0,10,0
"16511",139,25,12,0,11,0
"16546",0,0,0,0,0,0
"16563",0,0,0,0,0,0
"16601",298,0,7,0,0,0
"16602",190,0,0,0,0,0
"16611",25,0,0,0,0,0
"16613",12,0,0,0,0,0
"16616",4,0,0,0,0,0
"16617",22,0,0,0,0,0
"16619",0,0,0,0,0,0
"16620",2,0,0,0,0,0
"16621",0,0,0,0,0,0
"16622",0,0,0,0,0,0
"16623",2,0,0,0,0,0
"16624",1,0,0,0,0,0
"16625",23,0,0,0,0,0
"16627",60,0,0,0,0,0
"16630",78,0,0,0,0,0
"16631",0,0,0,0,0,0
"16633",10,0,0,0,0,0
"16634",2,0,0,0,0,0
"16635",192,0,0,0,0,0
"16636",4,1,0,0,0,0
"16637",35,0,0,0,0,0
"16638",0,0,0,0,0,0
"16639",12,0,0,0,0,0
"16640",15,0,0,0,0,0
"16641",30,0,0,0,0,0
"16645",0,0,0,0,0,0
"16646",46,0,0,0,0,0
"16647",9,0,0,0,0,0
"16648",49,0,26,0,0,0
"16650",16,0,0,0,0,0
"16651",39,11,0,0,0,0
"16652",103,8,64,0,22,0
"16655",10,0,0,0,0,0
"16656",13,0,0,0,0,0
"16657",10,3,3,0,0,0
"16659",3,0,0,0,0,0
"16661",16,0,0,0,0,0
"16662",43,0,0,0,0,0
"16664",21,0,0,0,0,0
"16665",1,0,0,0,0,0
"16666",47,0,0,0,0,0
"16667",5,0,0,0,0,0
"16668",44,0,1,0,0,0
"16669",12,0,0,0,0,0
"16670",0,0,0,0,0,0
"16671",3,0,0,0,0,0
"16672",10,0,0,0,0,0
"16673",64,0,0,0,0,0
"16674",12,0,0,0,0,0
"16677",0,0,0,0,0,0
"16678",52,0,0,0,0,0
"16679",7,0,0,0,0,0
"16680",6,0,0,0,0,0
"16682",0,0,0,0,0,0
"16683",2,0,0,0,0,0
"16685",3,0,0,0,0,0
"16686",170,9,0,0,0,0
"16689",12,0,0,0,0,0
"16691",8,0,0,0,0,0
"16692",13,0,0,0,0,0
"16693",52,0,0,0,0,0
"16694",0,0,0,0,0,0
"16695",14,0,0,0,0,0
"16699",23,0,32,0,0,0
"16701",191,0,0,0,0,0
"16720",18,0,0,0,0,0
"16724",0,0,0,0,0,0
"16725",2,0,0,0,0,0
"16726",4,0,0,0,0,0
"16727",0,0,0,0,0,0
"16728",0,0,0,0,0,0
"16729",9,0,0,0,0,0
"16730",0,0,0,0,0,0
"16731",75,0,0,0,0,0
"16732",0,0,0,0,0,0
"16733",0,0,0,0,0,0
"16734",15,0,0,0,0,0
"16735",58,0,0,0,0,0
"16738",30,0,78,0,10,0
"16740",19,0,0,0,0,0
"16743",108,0,0,0,0,0
"16744",13,0,0,0,0,0
"16745",3,0,0,0,0,0
"16746",32,0,0,0,0,0
"16748",54,0,0,0,0,0
"16749",79,0,22,0,0,0
"16750",7,0,0,0,0,0
"16801",425,10,18,0,29,0
"16802",0,0,0,0,0,0
"16803",214,5,14,0,12,0
"16820",14,0,0,0,0,0
"16821",0,0,0,0,0,0
"16822",30,0,0,0,0,0
"16823",231,44,26,0,0,0
"16825",0,0,0,0,0,0
"16826",4,0,0,0,0,0
"16827",40,0,0,0,0,0
"16828",114,0,0,0,0,0
"16829",14,0,0,0,0,0
"16830",191,0,0,0,0,0
"16832",7,0,0,0,0,0
"16833",71,0,0,0,0,0
"16834",6,0,0,0,0,0
"16835",5,0,0,0,0,0
"16836",29,0,0,0,0,0
"16837",0,0,0,0,0,0
"16838",19,0,0,0,0,0
"16839",17,0,0,0,0,0
"16840",28,0,0,0,0,0
"16841",101,0,0,0,0,0
"16843",0,0,0,0,0,0
"16844",74,0,0,0,0,0
"16845",17,0,0,0,0,0
"16847",0,0,0,0,0,0
"16848",2,0,0,0,0,0
"16849",0,0,0,0,0,0
"16851",58,0,0,0,0,0
"16852",15,0,0,0,0,0
"16853",0,0,0,0,0,0
"16854",13,0,0,0,0,0
"16855",0,0,0,0,0,0
"16858",23,2,0,0,0,0
"16859",0,0,0,0,0,0
"16860",2,0,0,0,0,0
"16861",3,0,0,0,0,0
"16863",3,0,0,0,0,0
"16865",37,0,0,0,0,0
"16866",139,16,0,0,0,0
"16868",0,0,0,0,0,0
"16870",79,0,0,0,0,0
"16871",0,0,0,0,0,0
"16872",15,0,0,0,4,0
"16874",16,0,0,0,0,0
"16875",42,0,0,0,0,0
"16876",4,0,0,0,0,0
"16877",26,0,0,0,0,0
"16878",7,0,0,0,0,0
"16879",0,0,0,0,0,0
"16881",12,0,0,0,0,0
"16882",0,0,0,0,0,0
"16901",131,0,0,0,0,0
"16911",10,0,0,0,0,0
"16912",49,0,0,0,0,0
"16914",12,0,2,0,0,0
"16915",89,0,0,0,0,0
"16917",34,0,0,0,0,0
"16920",35,0,0,0,0,0
"16921",4,0,0,0,0,0
"16922",21,0,0,0,0,0
"16923",6,0,0,0,0,0
"16925",39,0,0,0,0,0
"16926",1,0,0,0,0,0
"16927",12,0,8,0,0,0
"16928",7,0,0,0,0,0
"16929",17,0,0,0,0,0
"16930",11,0,0,0,0,0
"16932",12,0,0,0,0,0
"16933",121,0,0,0,0,0
"16935",24,0,0,2,0,0
"16936",24,0,0,0,0,0
"16937",5,0,0,0,0,0
"16938",9,0,0,0,0,0
"16939",0,0,0,0,0,0
"16940",9,0,0,0,0,0
"16941",3,0,0,0,0,0
"16942",3,0,0,0,0,0
"16943",1,0,0,0,0,0
"16946",17,0,0,0,0,0
"16947",68,0,5,0,0,0
"16948",20,0,0,0,0,0
"16950",30,0,2,0,0,0
"17002",5,0,0,0,0,0
"17003",101,9,0,0,0,0
"17004",12,3,0,0,0,0
"17005",0,0,0,0,0,0
"17006",11,0,0,0,0,0
"17007",98,0,0,0,0,0
"17009",5,0,0,0,0,0
"17010",0,0,0,0,0,0
"17011",383,0,15,0,6,0
"17013",284,19,6,0,0,0
"17015",311,35,0,0,0,0
"17016",0,0,0,0,0,0
"17017",8,0,0,0,0,0
"17018",42,4,0,0,0,0
"17019",264,4,4,0,0,0
"17020",66,0,0,0,0,0
"17021",0,0,0,0,0,0
"17022",427,0,44,0,0,0
"17023",35,0,0,0,0,0
"17024",16,0,0,0,0,0
"17025",84,8,0,0,49,0
"17026",21,0,0,0,0,0
"17027",15,0,0,0,0,0
"17028",32,0,0,0,0,0
"17029",0,0,0,0,0,0
"17030",0,0,0,0,0,0
"17032",153,0,0,0,0,0
"17033",133,11,20,0,5,0
"17034",0,0,0,0,0,0
"17035",12,0,0,0,0,0
"17036",255,22,0,8,24,0
"17037",16,0,0,0,0,0
"17038",117,0,0,0,0,0
"17039",0,0,0,0,0,0
"17040",27,3,0,0,0,0
"17041",12,0,0,0,0,0
"17042",401,68,16,0,0,0
"17043",37,0,0,0,0,0
"17044",250,0,7,0,0,0
"17045",65,0,0,0,0,0
"17046",184,71,14,0,0,0
"17047",76,6,3,0,0,0
"17048",57,0,0,0,0,0
"17049",81,0,0,0,0,0
"17050",415,18,17,0,0,0
"17051",45,13,0,0,0,0
"17052",33,0,0,0,0,0
"17053",46,0,0,0,0,0
"17055",309,0,8,0,0,0
"17056",0,0,0,0,0,0
"17057",315,22,10,0,0,0
"17058",12,0,0,0,0,0
"17059",73,4,0,0,0,0
"17060",6,0,0,0,0,0
"17061",128,0,8,0,0,0
"17062",83,0,0,0,0,0
"17063",24,0,0,0,0,0
"17064",13,0,0,0,0,0
"17065",13,0,0,0,0,0
"17066",43,5,0,0,0,0
"17067",103,9,0,0,12,0
"17068",65,0,0,0,0,0
"17069",4,0,0,0,0,0
"17070",75,0,0,0,0,0
"17071",7,0,0,0,0,0
"17072",0,0,0,0,0,0
"17073",58,0,0,0,0,0
"17074",73,9,0,0,0,0
"17075",0,0,0,0,0,0
"17076",0,0,0,0,0,0
"17077",0,0,0,0,0,0
"17078",172,0,8,0,0,0
"17080",4,4,0,0,0,0
"17081",0,0,0,0,0,0
"17082",16,0,0,0,0,0
"17083",0,0,0,0,0,0
"17084",39,0,0,0,0,0
"17086",21,0,0,0,0,0
"17087",20,0,0,0,0,0
"17088",0,0,0,0,0,0
"17090",81,0,0,0,0,0
"17093",28,0,0,0,0,0
"17094",28,0,0,0,0,0
"17097",9,0,0,0,0,0
"17098",21,0,0,0,0,0
"17099",0,0,0,0,0,0
"17101",0,0,0,0,0,0
"17102",6,0,13,0,0,0
"17103",39,63,88,0,25,0
"17104",34,110,333,0,48,0
"17109",104,27,69,0,14,0
"17110",113,37,222,0,14,0
"17111",119,17,53,0,0,0
"17112",415,0,32,0,0,0
"17113",40,13,96,0,0,0
"17120",0,0,0,0,0,0
"17201",289,81,16,0,0,0
"17202",311,3,64,0,0,0
"17210",0,0,0,0,0,0
"17211",6,0,0,0,0,0
"17212",0,0,0,0,0,0
"17213",6,0,0,0,0,0
"17214",21,0,0,0,0,0
"17215",0,0,0,0,0,0
"17217",0,0,0,0,0,0
"17219",0,0,0,0,0,0
"17220",4,0,0,0,0,0
"17221",12,0,0,0,0,0
"17222",74,11,13,0,0,0
"17223",2,0,0,0,0,0
"17224",8,0,0,0,0,0
"17225",216,0,20,0,0,0
"17228",28,0,0,0,0,0
"17229",35,0,0,0,0,0
"17233",60,0,0,0,0,0
"17235",0,0,0,0,0,0
"17236",68,0,26,0,0,0
"17237",25,0,0,0,0,0
"17238",9,0,0,3,0,0
"17239",0,0,0,0,0,0
"17240",81,0,0,0,0,0
"17241",140,3,0,0,0,0
"17243",11,2,0,0,0,0
"17244",39,0,0,0,0,0
"17246",0,0,0,0,0,0
"17247",0,0,0,0,0,0
"17249",6,0,0,0,0,0
"17250",0,0,0,0,0,0
"17251",0,0,0,0,0,0
"17252",56,0,0,0,0,0
"17253",2,0,0,0,0,0
"17254",1,0,0,0,0,0
"17255",19,0,0,0,0,0
"17256",0,0,0,0,0,0
"17257",230,16,59,0,0,0
"17260",19,0,0,0,0,0
"17261",16,3,4,0,0,0
"17262",31,0,0,0,0,0
"17263",24,0,0,0,0,0
"17264",27,0,0,0,0,0
"17265",17,0,0,0,0,0
"17266",10,0,0,0,0,0
"17267",54,2,2,0,0,0
"17268",251,61,10,0,0,0
"17270",0,0,0,0,0,0
"17271",3,0,0,0,0,0
"17272",0,0,0,0,0,0
"17301",32,14,0,0,0,0
"17302",39,0,0,0,0,0
"17304",50,0,0,0,0,0
"17306",10,0,0,0,0,0
"17307",70,25,0,0,0,0
"17309",43,0,0,0,0,0
"17311",0,0,0,0,0,0
"17313",174,0,0,0,0,0
"17314",155,0,0,0,0,0
"17315",185,31,0,0,0,0
"17316",132,0,0,0,0,0
"17317",21,0,0,0,0,0
"17318",0,0,0,0,0,0
"17319",125,53,0,0,0,0
"17320",143,22,0,0,0,0
"17321",22,0,0,0,0,0
"17322",105,0,0,0,0,0
"17324",36,0,0,0,0,0
"17325",195,13,0,0,0,0
"17327",133,7,0,0,0,0
"17329",13,0,0,0,0,0
"17331",570,10,20,0,13,0
"17339",93,13,0,0,0,0
"17340",192,0,2,0,0,0
"17343",0,0,0,0,0,0
"17344",101,0,0,0,0,0
"17345",75,0,0,0,0,0
"17347",16,20,52,0,0,0
"17349",182,0,0,0,0,0
"17350",59,43,0,0,0,0
"17352",17,0,0,0,0,0
"17353",62,19,0,0,0,0
"17355",4,0,0,0,0,0
"17356",163,0,10,0,0,0
"17360",34,0,67,0,0,0
"17361",69,0,23,0,19,0
"17362",271,0,0,0,0,0
"17363",142,0,0,0,0,0
"17364",104,0,23,0,0,0
"17365",23,0,0,0,0,0
"17366",81,13,0,0,0,0
"17368",58,0,0,0,0,0
"17370",66,0,0,0,0,0
"17371",0,0,0,0,0,0
"17372",56,39,0,8,0,0
"17401",10,82,105,0,2,0
"17402",273,48,16,0,62,0
"17403",322,191,125,0,0,0
"17404",286,53,71,0,0,0
"17406",186,0,11,0,0,0
"17407",19,4,0,0,3,0
"17408",181,0,26,0,0,0
"17501",41,7,0,0,6,0
"17502",15,0,0,0,0,0
"17505",0,0,0,0,0,0
"17507",0,0,0,0,0,0
"17508",0,0,0,0,0,0
"17509",29,0,7,0,0,0
"17512",160,107,40,0,0,0
"17516",117,0,0,0,0,0
"17517",175,0,0,0,0,0
"17518",10,0,0,0,0,0
"17519",27,10,10,0,0,0
"17520",44,0,0,0,0,0
"17522",318,38,4,0,5,0
"17527",61,0,3,0,0,0
"17529",9,0,0,0,0,0
"17532",28,0,0,0,0,0
"17535",15,0,0,0,0,0
"17536",26,0,0,0,0,0
"17538",55,13,0,0,0,0
"17540",53,0,4,0,0,0
"17543",670,71,29,0,47,0
"17545",182,17,0,0,0,0
"17547",23,0,0,0,0,0
"17550",0,0,0,0,0,0
"17551",105,0,0,0,1,0
"17552",230,34,0,0,0,0
"17554",92,6,37,0,0,0
"17555",91,0,0,0,0,0
"17557",81,93,0,0,0,0
"17560",88,0,0,0,0,0
"17562",40,0,0,0,0,0
"17563",35,6,0,0,0,0
"17565",10,0,0,0,0,0
"17566",140,0,0,0,0,0
"17569",134,0,0,0,0,0
"17570",0,0,0,0,0,0
"17572",28,0,0,0,0,0
"17576",0,0,0,0,0,0
"17578",133,0,0,0,0,0
"17579",88,0,0,0,0,0
"17581",23,0,0,0,0,0
"17582",30,0,0,0,0,0
"17584",97,0,0,0,0,0
"17601",336,45,15,0,36,0
"17602",404,331,38,0,27,0
"17603",342,463,110,0,10,0
"17606",0,0,0,0,0,0
"17701",318,35,97,0,0,0
"17702",115,0,0,0,0,0
"17721",12,0,0,0,0,0
"17723",0,0,0,0,0,0
"17724",91,0,0,0,0,0
"17727",0,0,0,0,0,0
"17728",103,27,1,0,4,0
"17729",0,0,0,0,0,0
"17730",18,0,0,0,0,0
"17731",6,0,0,0,0,0
"17737",79,0,0,0,0,0
"17739",0,0,0,0,0,0
"17740",184,5,0,0,0,0
"17742",0,0,0,0,0,0
"17744",20,0,0,0,0,0
"17745",64,7,0,0,10,0
"17747",44,0,0,0,0,0
"17748",0,0,0,0,0,0
"17749",14,0,0,0,0,0
"17750",0,0,0,0,0,0
"17751",96,10,0,0,0,0
"17752",59,0,0,0,0,0
"17754",96,0,2,0,0,0
"17756",132,0,0,0,3,0
"17758",10,0,0,0,0,0
"17760",12,0,0,0,0,0
"17762",4,0,0,0,0,0
"17763",16,0,0,0,0,0
"17764",23,0,0,0,0,0
"17765",7,0,0,0,0,0
"17767",0,0,0,0,0,0
"17768",0,0,0,0,0,0
"17771",57,0,0,0,0,0
"17772",29,6,0,0,0,0
"17774",5,0,0,0,0,0
"17776",5,0,0,0,0,0
"17777",117,0,0,0,0,0
"17778",0,0,0,0,0,0
"17779",0,0,0,0,0,0
"17801",110,0,7,0,0,0
"17810",22,69,122,0,0,0
"17812",30,0,0,0,0,0
"17813",57,0,0,0,0,0
"17814",73,0,0,0,0,0
"17815",313,0,27,0,5,0
"17820",72,0,0,0,0,0
"17821",198,17,23,0,19,0
"17822",0,0,0,0,0,0
"17823",12,0,0,0,0,0
"17824",8,0,0,0,0,0
"17827",7,0,0,0,0,0
"17829",0,0,0,0,0,0
"17830",16,0,0,0,0,0
"17832",4,0,0,0,0,0
"17834",15,0,0,0,0,0
"17835",0,0,0,0,0,0
"17836",9,0,0,0,0,0
"17837",83,43,20,0,0,0
"17840",0,0,0,0,0,0
"17841",34,0,0,0,0,0
"17842",111,0,6,0,0,0
"17844",109,0,0,0,0,0
"17845",36,0,0,0,0,0
"17846",34,0,0,0,0,0
"17847",137,7,0,0,23,0
"17850",9,0,0,0,0,0
"17851",141,0,0,0,0,0
"17853",50,0,0,0,0,0
"17855",16,0,0,0,0,0
"17856",47,0,0,0,0,0
"17857",147,0,0,0,0,0
"17859",31,0,0,0,0,0
"17860",18,0,0,0,0,0
"17861",0,0,0,0,0,0
"17862",4,0,0,0,0,0
"17864",57,4,0,0,0,0
"17865",0,0,0,0,0,0
"17866",143,20,77,0,0,0
"17867",2,0,0,0,0,0
"17868",45,0,0,0,0,0
"17870",84,0,0,0,0,0
"17872",110,9,0,0,0,0
"17876",3,0,0,0,0,0
"17878",26,0,0,0,0,0
"17880",0,0,0,0,0,0
"17881",16,0,0,0,0,0
"17884",0,0,0,0,0,0
"17885",0,0,0,0,0,0
"17886",0,0,0,0,0,0
"17887",0,0,0,0,0,0
"17888",5,0,0,0,0,0
"17889",76,0,0,0,0,0
"17901",237,13,22,0,17,0
"17920",4,0,0,0,0,0
"17921",29,0,9,0,0,0
"17922",109,11,0,0,0,0
"17923",2,0,0,0,0,0
"17925",0,0,0,0,0,0
"17929",33,0,7,0,0,0
"17930",2,0,0,0,0,0
"17931",49,12,38,0,10,0
"17933",0,0,0,0,0,0
"17934",3,0,0,0,0,0
"17935",16,0,0,0,0,0
"17936",5,0,0,0,0,0
"17938",78,0,0,0,0,0
"17941",16,0,0,0,0,0
"17943",0,0,0,0,0,0
"17944",7,0,0,0,0,0
"17945",2,0,0,0,0,0
"17946",0,0,0,0,0,0
"17948",67,0,0,0,0,0
"17949",0,0,0,0,0,0
"17951",0,0,0,0,0,0
"17952",3,0,0,0,0,0
"17953",5,0,0,0,0,0
"17954",42,0,0,0,0,0
"17957",0,0,0,0,0,0
"17959",18,0,0,0,0,0
"17960",27,0,0,0,0,0
"17961",61,8,0,0,0,0
"17963",105,12,0,0,0,0
"17964",17,0,0,0,0,0
"17965",22,0,0,0,0,0
"17967",30,0,0,0,0,0
"17968",3,0,0,0,0,0
"17970",49,0,11,0,0,0
"17972",191,0,0,0,0,0
"17974",0,0,0,0,0,0
"17976",83,0,0,0,0,0
"17978",3,0,0,0,0,0
"17979",0,0,0,0,0,0
"17980",14,0,0,0,0,0
"17981",28,0,0,0,0,0
"17982",3,0,0,0,0,0
"17983",21,0,0,0,0,0
"17985",4,0,0,0,0,0
"18011",21,0,0,0,0,0
"18013",194,30,0,0,0,0
"18014",95,0,0,0,0,0
"18015",121,252,14,8,0,0
"18016",0,0,0,0,0,0
"18017",330,54,5,0,14,0
"18018",269,129,72,0,0,0
"18020",243,12,0,0,0,0
"18030",3,0,0,0,0,0
"18031",10,9,0,0,44,0
"18032",89,55,0,0,0,0
"18034",55,0,0,0,0,0
"18035",0,0,0,0,0,0
"18036",219,0,0,0,0,0
"18037",51,33,17,0,0,0
"18038",49,0,0,0,0,0
"18040",76,15,0,0,0,0
"18041",107,12,0,0,0,0
"18042",278,23,104,32,0,0
"18045",184,46,0,0,31,0
"18046",0,0,0,0,0,0
"18049",52,0,0,15,0,0
"18051",16,6,0,0,0,0
"18052",143,55,43,0,11,0
"18053",36,0,0,0,0,0
"18054",53,10,0,0,0,0
"18055",101,9,0,0,0,0
"18056",0,0,0,0,0,0
"18058",47,0,11,0,0,0
"18059",46,0,0,0,0,0
"18062",269,49,66,0,64,0
"18063",0,0,0,0,0,0
"18064",383,11,0,0,0,0
"18066",117,0,0,0,0,0
"18067",271,0,0,0,11,0
"18068",0,0,0,0,0,0
"18069",191,4,0,0,0,0
"18070",12,0,0,0,0,0
"18071",108,17,0,0,0,0
"18072",45,0,0,0,0,0
"18073",218,0,0,0,0,0
"18074",149,0,0,0,0,0
"18076",22,0,0,0,0,0
"18077",0,0,0,0,0,0
"18078",63,10,0,0,0,0
"18079",32,0,0,0,0,0
"18080",106,0,0,0,0,0
"18081",0,0,0,0,0,0
"18083",22,0,0,0,0,0
"18085",15,0,0,0,0,0
"18086",0,0,0,0,0,0
"18087",0,0,0,0,0,0
"18088",72,10,0,0,0,0
"18091",74,0,0,0,0,0
"18092",65,0,0,0,0,0
"18101",7,27,29,0,0,0
"18102",81,495,145,0,8,0
"18103",400,230,74,10,0,0
"18104",301,66,0,0,12,0
"18105",0,0,0,0,0,0
"18106",29,0,13,0,0,0
"18109",28,105,15,0,0,0
"18195",0,0,0,0,0,0
"18201",206,200,40,0,0,0
"18202",86,51,8,0,0,0
"18210",45,21,0,0,0,0
"18211",36,0,0,0,0,0
"18212",0,9,0,0,0,0
"18214",26,0,5,0,0,0
"18216",8,0,0,0,0,0
"18218",5,0,0,0,0,0
"18219",34,0,0,0,0,0
"18220",9,0,0,0,0,0
"18221",11,0,0,0,0,0
"18222",90,0,15,0,0,0
"18223",0,0,0,0,0,0
"18224",122,9,0,0,0,0
"18225",0,0,0,0,0,0
"18229",152,7,0,0,0,0
"18230",0,0,0,0,0,0
"18231",0,0,0,0,0,0
"18232",11,25,0,0,0,0
"18234",0,0,0,0,0,0
"18235",149,41,2,0,0,0
"18237",64,0,0,0,0,0
"18239",24,0,0,0,0,0
"18240",90,4,0,0,0,0
"18241",29,0,0,0,0,0
"18242",3,0,0,0,0,0
"18244",9,0,0,0,0,0
"18245",0,0,0,0,0,0
"18246",4,0,0,0,0,0
"18248",0,0,0,0,0,0
"18249",17,0,0,0,0,0
"18250",17,0,0,0,0,0
"18251",0,0,0,0,0,0
"18252",170,0,0,0,0,0
"18254",3,0,0,0,0,0
"18255",40,0,0,0,0,0
"18256",0,0,0,0,0,0
"18301",314,97,32,0,12,0
"18302",143,52,93,0,0,0
"18321",0,0,0,0,0,0
"18322",71,18,0,0,0,0
"18323",0,0,0,0,0,0
"18324",148,162,60,0,0,0
"18325",23,0,0,0,0,0
"18326",61,21,7,0,0,0
"18327",0,0,0,0,0,0
"18328",128,0,0,0,0,0
"18330",161,31,0,0,0,0
"18331",22,0,0,0,0,0
"18332",23,5,5,0,0,0
"18333",0,35,0,0,0,0
"18334",90,0,0,0,0,0
"18335",0,0,0,0,0,0
"18336",68,22,0,0,0,0
"18337",183,62,0,0,0,0
"18340",15,0,0,0,0,0
"18342",0,0,0,0,0,0
"18343",0,0,0,0,0,0
"18344",25,0,35,0,0,0
"18346",29,0,0,0,0,0
"18347",33,0,0,0,0,0
"18349",0,0,0,0,0,0
"18350",16,32,0,0,0,0
"18351",3,0,0,0,0,0
"18352",0,0,0,0,0,0
"18353",175,0,40,0,0,0
"18354",0,0,0,0,0,0
"18355",11,5,0,0,0,0
"18356",0,0,0,0,0,0
"18357",0,0,0,0,0,0
"18360",422,142,50,0,0,0
"18370",27,0,0,0,0,0
"18371",0,0,32,0,0,0
"18372",0,0,0,0,0,0
"18403",73,0,0,0,0,0
"18405",82,23,0,3,0,0
"18407",114,67,6,0,0,0
"18411",237,0,0,0,0,0
"18413",0,0,0,0,0,0
"18414",54,4,0,0,0,0
"18415",4,9,0,0,0,0
"18417",9,0,0,0,0,0
"18419",69,0,0,0,0,0
"18420",0,0,0,0,0,0
"18421",42,1,0,0,0,0
"18424",25,0,0,0,0,0
"18425",3,0,0,0,0,0
"18426",13,0,0,0,0,0
"18427",0,0,0,0,0,0
"18428",99,6,0,0,0,0
"18430",0,0,0,0,0,0
"18431",187,0,13,0,0,0
"18433",96,0,0,0,0,0
"18434",73,0,0,0,0,0
"18435",20,0,0,0,0,0
"18436",243,0,3,0,0,0
"18437",0,0,0,0,0,0
"18438",11,11,0,0,0,0
"18439",5,0,0,0,0,0
"18441",14,0,0,0,0,0
"18443",0,0,0,0,0,0
"18444",220,0,0,0,0,0
"18445",39,0,0,0,0,0
"18446",28,0,0,0,0,0
"18447",76,0,0,0,0,0
"18451",0,0,0,0,0,0
"18452",67,0,0,0,0,0
"18453",21,0,0,0,0,0
"18454",0,0,0,0,0,0
"18455",2,0,0,0,0,0
"18456",0,0,0,0,0,0
"18457",0,0,0,0,0,0
"18458",35,0,0,0,0,0
"18459",0,0,0,0,0,0
"18460",0,0,0,0,0,0
"18461",0,0,0,0,0,0
"18462",11,0,0,0,0,0
"18463",0,0,0,0,0,0
"18464",0,0,0,0,0,0
"18465",87,0,0,0,0,0
"18466",147,79,217,0,0,0
"18469",0,0,0,0,0,0
"18470",18,0,0,0,0,0
"18471",43,0,0,0,0,0
"18472",58,4,16,0,0,0
"18473",0,0,0,0,0,0
"18503",0,0,1,0,0,0
"18504",187,29,9,0,0,0
"18505",144,150,0,0,67,0
"18507",104,0,0,0,0,0
"18508",114,24,12,0,0,0
"18509",81,0,16,0,0,0
"18510",81,0,0,0,9,0
"18512",144,0,0,36,0,0
"18517",73,0,0,0,0,0
"18518",167,0,0,0,0,0
"18519",48,0,0,0,0,0
"18602",5,0,0,0,0,0
"18603",191,6,15,0,0,0
"18610",82,0,0,0,0,0
"18612",172,13,13,3,0,0
"18614",31,0,0,0,0,0
"18615",10,0,0,0,0,0
"18616",0,0,0,0,0,0
"18617",12,0,0,0,0,0
"18618",34,0,0,0,0,0
"18619",3,0,0,0,0,0
"18621",13,0,16,0,0,0
"18622",0,0,0,0,0,0
"18623",31,0,0,0,0,0
"18624",15,0,0,0,0,0
"18625",5,0,0,0,0,0
"18626",10,0,12,0,0,0
"18628",0,0,0,0,0,0
"18629",28,0,0,0,0,0
"18630",49,0,0,0,0,0
"18631",0,0,0,0,0,0
"18632",0,0,0,0,0,0
"18634",188,0,1,0,0,0
"18635",60,7,0,0,6,0
"18636",23,0,0,0,0,0
"18640",120,0,11,0,0,0
"18641",55,0,0,0,0,0
"18642",42,0,10,0,0,0
"18643",144,11,12,0,16,0
"18644",84,0,0,14,0,0
"18651",67,0,17,0,0,0
"18653",5,0,0,0,0,0
"18655",86,0,0,0,0,0
"18656",51,0,0,0,0,0
"18657",160,3,0,0,5,0
"18660",42,0,0,0,0,0
"18661",53,0,0,0,0,0
"18701",41,0,0,0,0,0
"18702",370,94,57,0,0,0
"18704",405,46,33,0,0,0
"18705",50,0,0,0,0,0
"18706",180,0,10,0,0,0
"18707",284,0,0,0,19,0
"18708",67,11,66,0,0,0
"18709",17,0,0,0,0,0
"18801",122,10,3,0,0,0
"18810",70,0,0,0,0,0
"18812",28,0,0,0,0,0
"18814",0,0,0,0,0,0
"18816",0,0,0,0,0,0
"18817",0,0,0,0,0,0
"18818",13,0,0,0,0,0
"18821",28,0,0,0,0,0
"18822",55,0,0,0,0,0
"18823",0,0,0,0,0,0
"18824",20,0,0,0,0,0
"18825",0,0,0,0,0,0
"18826",7,0,0,0,0,0
"18828",0,0,0,0,0,0
"18829",7,0,0,0,0,0
"18830",2,0,0,0,0,0
"18831",4,0,0,0,0,0
"18832",35,0,0,0,0,0
"18833",18,0,0,0,0,0
"18834",36,0,0,0,0,0
