" ","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12","Enrolled in school:!!Enrolled in grade 12"
"01082",41,0,0,0,0,0
"01083",29,0,0,0,0,0
"01084",0,0,0,0,0,0
"01085",458,50,0,0,64,0
"01086",0,0,0,0,0,0
"01088",0,0,0,0,0,0
"01089",291,12,61,0,22,0
"01092",0,0,0,0,0,0
"01093",0,0,0,0,0,0
"01094",5,0,0,0,0,0
"01095",306,12,12,0,0,0
"01096",4,3,0,0,0,0
"01097",0,0,0,0,0,0
"01098",5,0,0,0,0,0
"01103",0,37,0,0,0,0
"01104",102,364,58,0,0,0
"01105",62,131,38,22,0,0
"01106",214,13,0,0,27,0
"01107",22,74,59,0,0,0
"01108",66,213,32,68,6,0
"01109",23,136,426,0,8,0
"01118",107,20,42,0,38,0
"01119",56,98,148,0,0,0
"01128",8,0,0,0,0,0
"01129",23,104,19,0,0,0
"01151",36,124,40,0,0,0
"01199",0,0,0,0,0,0
"01201",471,92,84,0,15,0
"01220",109,4,0,0,0,0
"01222",13,0,0,0,0,0
"01223",15,0,0,0,0,0
"01224",0,0,0,0,0,0
"01225",74,0,0,0,0,0
"01226",41,24,0,0,0,0
"01229",0,0,0,0,0,0
"01230",87,3,43,0,0,0
"01235",8,0,0,0,0,0
"01236",6,0,0,0,0,0
"01237",28,0,0,0,0,0
"01238",133,0,0,0,0,0
"01240",126,0,0,0,0,0
"01242",2,0,0,0,0,0
"01243",0,0,0,0,0,0
"01244",0,0,0,0,0,0
"01245",12,0,0,0,0,0
"01247",265,0,0,0,0,0
"01253",22,0,0,0,0,0
"01254",8,2,0,0,0,0
"01255",13,2,0,2,3,0
"01256",4,0,0,0,0,0
"01257",27,11,0,0,0,0
"01258",3,0,0,0,0,0
"01259",0,0,0,0,0,0
"01260",22,0,0,0,0,0
"01262",19,0,0,0,0,0
"01264",0,0,0,0,0,0
"01266",25,0,0,0,0,0
"01267",41,23,12,0,2,0
"01270",11,3,0,0,0,0
"01301",208,32,0,0,0,0
"01330",24,0,0,0,0,0
"01331",229,53,0,0,0,0
"01337",3,7,0,0,0,0
"01338",4,0,0,0,0,0
"01339",34,0,0,0,0,0
"01340",18,0,0,0,0,0
"01341",11,0,0,0,0,0
"01342",0,0,0,0,0,0
"01343",0,0,0,0,0,0
"01344",26,2,0,0,0,0
"01346",0,0,0,0,0,0
"01347",0,0,0,0,0,0
"01349",3,0,0,0,0,0
"01350",0,0,0,0,0,0
"01351",27,0,0,0,0,0
"01354",10,0,0,0,0,0
"01355",5,0,0,0,0,0
"01360",16,0,0,0,0,0
"01364",146,0,0,0,0,0
"01366",15,0,0,0,0,0
"01367",5,0,0,0,0,0
"01368",12,3,0,0,0,0
"01370",64,0,0,0,0,0
"01373",56,0,0,0,0,0
"01375",10,0,0,0,0,0
"01376",87,24,0,0,0,0
"01378",9,0,0,0,2,0
"01379",0,0,0,0,0,0
"01420",187,259,24,0,49,0
"01430",48,0,0,0,0,0
"01431",42,0,0,0,0,0
"01432",124,0,0,0,0,0
"01434",19,15,0,0,0,0
"01436",44,0,0,0,0,0
"01438",0,0,0,0,0,0
"01440",242,60,27,0,0,0
"01450",293,0,2,0,19,0
"01451",48,0,0,0,0,0
"01452",48,0,0,0,0,0
"01453",342,158,16,0,15,0
"01460",147,2,2,0,0,0
"01462",111,0,24,0,0,0
"01463",221,0,11,0,0,0
"01464",96,26,34,0,2,0
"01467",0,0,0,0,0,0
"01468",16,0,0,0,0,0
"01469",33,0,0,0,0,0
"01473",103,0,0,0,0,0
"01474",43,0,0,0,0,0
"01475",224,0,0,0,0,0
"01501",257,0,0,0,0,0
"01503",19,10,6,0,0,0
"01504",212,60,0,0,0,0
"01505",75,0,0,0,0,0
"01506",53,0,0,0,0,0
"01507",184,0,0,0,0,0
"01510",116,137,0,0,0,0
"01515",76,0,0,0,0,0
"01516",88,0,0,0,0,0
"01518",25,0,0,0,0,0
"01519",76,0,0,0,0,0
"01520",272,11,0,0,0,0
"01521",31,0,0,0,0,0
"01522",61,0,13,0,0,0
"01523",127,44,55,0,0,0
"01524",98,9,0,0,0,0
"01525",0,0,0,0,0,0
"01527",119,0,0,0,0,0
"01529",42,0,0,0,0,0
"01531",7,0,0,0,0,0
"01532",128,0,9,0,24,0
"01534",39,0,0,0,0,0
"01535",110,0,0,0,0,0
"01536",63,26,0,0,5,0
"01537",13,0,0,0,0,0
"01540",97,41,0,41,0,0
"01541",46,0,0,0,0,0
"01542",7,0,0,0,0,0
"01543",117,0,0,0,0,0
"01545",420,23,25,0,58,0
"01550",167,133,0,0,12,0
"01560",46,0,0,0,0,0
"01561",0,0,0,0,0,0
"01562",50,0,0,0,0,0
"01564",185,0,0,0,0,0
"01566",123,0,0,0,0,0
"01568",51,0,0,0,0,0
"01569",201,0,0,0,0,0
"01570",105,0,15,0,0,0
"01571",113,9,0,0,0,0
"01581",160,0,0,0,53,0
"01583",89,32,8,0,0,0
"01585",138,0,8,0,0,0
"01588",93,0,0,0,0,0
"01590",201,0,0,0,0,0
"01602",146,102,70,0,17,0
"01603",114,9,19,12,11,0
"01604",173,113,12,0,34,0
"01605",77,240,83,0,53,0
"01606",127,33,0,0,0,0
"01607",35,14,76,0,8,0
"01608",20,40,18,0,0,0
"01609",129,53,42,0,0,0
"01610",65,168,104,13,29,0
"01611",0,0,0,0,0,0
"01612",61,0,0,0,0,0
"01701",253,1,2,0,10,0
"01702",207,159,49,0,31,0
"01718",0,0,0,0,13,0
"01719",112,0,0,0,49,0
"01720",380,0,0,0,94,0
"01721",170,0,25,0,0,0
"01730",57,14,0,0,43,0
"01731",9,0,0,0,0,0
"01740",60,0,0,0,0,0
"01741",47,0,0,0,0,0
"01742",162,25,32,0,25,0
"01745",0,0,0,0,0,0
"01746",207,15,0,0,20,0
"01747",128,0,0,0,0,0
"01748",235,13,0,0,0,0
"01749",285,9,0,0,11,0
"01752",361,86,16,0,34,0
"01754",41,0,0,0,0,0
"01756",114,2,3,0,0,0
"01757",345,93,23,17,0,0
"01760",360,0,35,0,4,0
"01770",61,0,0,0,6,0
"01772",125,0,0,0,12,0
"01773",46,0,0,0,0,0
"01775",39,0,0,0,0,0
"01776",411,5,0,0,20,0
"01778",191,15,0,0,21,0
"01801",355,31,0,0,0,0
"01803",121,0,20,0,29,0
"01810",543,44,0,0,55,0
"01821",492,0,7,0,14,0
"01824",245,14,0,0,10,0
"01826",426,15,0,0,0,0
"01827",32,0,0,0,0,0
"01830",171,26,1,0,0,0
"01832",211,154,17,0,19,0
"01833",106,0,0,0,0,0
"01834",54,0,0,0,0,0
"01835",228,44,44,0,0,0
"01840",0,60,9,0,0,0
"01841",77,855,55,0,22,0
"01843",34,346,44,0,59,0
"01844",641,158,1,0,0,0
"01845",312,4,0,0,5,0
"01850",149,45,70,0,0,0
"01851",120,43,60,0,236,0
"01852",191,69,83,0,223,0
"01854",108,141,27,22,98,0
"01860",109,0,0,0,0,0
"01862",160,28,0,0,0,0
"01863",66,0,0,0,0,0
"01864",217,0,0,0,0,0
"01867",334,11,0,0,0,0
"01876",145,4,71,0,9,0
"01879",262,0,0,0,31,0
"01880",264,5,0,0,0,0
"01886",350,0,0,0,46,0
"01887",396,18,0,0,9,0
"01890",231,8,9,0,11,0
"01901",0,0,0,0,0,0
"01902",165,310,132,0,127,0
"01904",228,24,25,0,8,0
"01905",128,226,51,0,0,0
"01906",366,12,0,0,11,0
"01907",220,0,0,0,0,0
"01908",23,0,0,0,0,0
"01913",331,0,0,0,24,0
"01915",348,0,21,0,0,0
"01921",100,25,0,0,0,0
"01922",15,0,0,0,0,0
"01923",405,1,1,0,17,0
"01929",76,0,0,0,0,0
"01930",484,0,0,0,0,0
"01937",0,0,0,0,0,0
"01938",222,13,1,0,0,0
"01940",259,0,0,0,5,0
"01944",32,0,0,0,0,0
"01945",258,0,0,0,0,0
"01949",115,14,62,0,27,0
"01950",70,10,6,0,0,0
"01951",80,0,0,0,0,0
"01952",72,10,0,0,0,0
"01960",592,83,42,0,10,0
"01966",48,0,0,0,0,0
