"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"69","SUNY College at Fredonia","14063","New York","Chautauqua",715,10,3,21,9,672,"Chautauqua, New York"
"70","Niagara University","14109","New York","Niagara",290,17,2,4,9,258,"Niagara, New York"
"71","D'Youville College","14201","New York","Erie",971,96,11,38,35,791,"Erie, New York"
"72","Canisius College","14208","New York","Erie",403,8,3,13,6,373,"Erie, New York"
"73","Medaille College","14214","New York","Erie",204,6,4,5,2,187,"Erie, New York"
"74","SUNY College at Buffalo","14222","New York","Erie",820,81,3,23,48,665,"Erie, New York"
"75","Daemen College","14226","New York","Erie",741,47,4,14,17,659,"Erie, New York"
"76","SUNY at Buffalo","14260","New York","Erie",5352,293,25,727,239,4068,"Erie, New York"
"77","SUNY College at Brockport","14420","New York","Monroe",1900,121,5,41,48,1685,"Monroe, New York"
"78","SUNY College at Geneseo","14454","New York","Livingston",1148,13,1,81,21,1032,"Livingston, New York"
"79","Hobart William Smith Colleges","14456","New York","Ontario",349,5,1,21,10,312,"Ontario, New York"
"80","Keuka College","14478","New York","Yates",649,17,4,8,10,610,"Yates, New York"
"81","Nazareth College of Rochester","14618","New York","Monroe",704,40,2,19,22,621,"Monroe, New York"
"82","St John Fisher College","14618","New York","Monroe",910,36,4,26,18,826,"Monroe, New York"
"83","Rochester Institute of Technology","14623","New York","Monroe",5880,201,32,368,194,5085,"Monroe, New York"
"84","Roberts Wesleyan College","14624","New York","Monroe",522,49,1,6,15,451,"Monroe, New York"
"85","University of Rochester","14627","New York","Monroe",2700,104,9,442,121,2024,"Monroe, New York"
"86","St Bonaventure University","14778","New York","Cattaraugus",142,2,2,33,2,103,"Cattaraugus, New York"
"87","Ithaca College","14850","New York","Tompkins",1413,28,4,66,50,1265,"Tompkins, New York"
"88","Cornell University, All Campuses","14853","New York","Tompkins",6132,273,24,1468,424,3943,"Tompkins, New York"
"89","Robert Morris College (Coraopolis, PA)","15108","Pennsylvania","Allegheny",708,32,1,10,8,657,"Allegheny, Pennsylvania"
"90","Carlow College","15213","Pennsylvania","Allegheny",575,42,4,9,6,514,"Allegheny, Pennsylvania"
"91","Carnegie Mellon University","15213","Pennsylvania","Allegheny",2829,124,14,964,181,1546,"Allegheny, Pennsylvania"
"92","Art Institute of Pittsburgh","15222","Pennsylvania","Allegheny",245,25,2,7,12,199,"Allegheny, Pennsylvania"
"93","Point Park College","15222","Pennsylvania","Allegheny",350,50,1,4,3,292,"Allegheny, Pennsylvania"
"94","Chatham College","15232","Pennsylvania","Allegheny",337,24,1,5,7,300,"Allegheny, Pennsylvania"
"95","La Roche College","15237","Pennsylvania","Allegheny",210,5,1,1,4,199,"Allegheny, Pennsylvania"
"96","University of Pittsburgh Main Campus","15260","Pennsylvania","Allegheny",7330,360,7,465,95,6403,"Allegheny, Pennsylvania"
"97","Duquesne University","15282","Pennsylvania","Allegheny",1905,49,1,35,29,1791,"Allegheny, Pennsylvania"
"98","Waynesburg College","15370","Pennsylvania","Greene",859,16,1,3,4,835,"Greene, Pennsylvania"
"99","California University of Pennsylvania","15419","Pennsylvania","Washington",1548,55,2,5,16,1470,"Washington, Pennsylvania"
"100","Seton Hill College","15601","Pennsylvania","Westmoreland",261,11,1,3,4,242,"Westmoreland, Pennsylvania"
"101","St Vincent College and Seminary","15650","Pennsylvania","Westmoreland",404,5,1,5,5,388,"Westmoreland, Pennsylvania"
"102","Indiana University of PA, All Campuses","15705","Pennsylvania","Indiana",1575,59,6,26,23,1461,"Indiana, Pennsylvania"
"103","St Francis College (Loretto, PA)","15940","Pennsylvania","Cambria",773,7,1,7,7,751,"Cambria, Pennsylvania"
"104","Slippery Rock University of Pennsylvania","16057","Pennsylvania","Butler",1570,61,2,12,19,1476,"Butler, Pennsylvania"
"105","Clarion University of PA, All Campuses","16214","Pennsylvania","Clarion",1177,31,1,11,8,1126,"Clarion, Pennsylvania"
"106","Allegheny College","16335","Pennsylvania","Crawford",981,15,2,31,17,916,"Crawford, Pennsylvania"
"107","Gannon University","16541","Pennsylvania","Erie",1301,26,3,20,15,1237,"Erie, Pennsylvania"
"108","Pennsylvania State U at Erie-Behrend College","16563","Pennsylvania","Erie",1417,20,2,28,16,1351,"Erie, Pennsylvania"
"109","Pennsylvania State U, Altoona Campus","16601","Pennsylvania","Blair",409,7,2,4,10,386,"Blair, Pennsylvania"
"110","Pennsylvania State U, Main Campus","16802","Pennsylvania","Centre",19454,649,16,1279,686,16824,"Centre, Pennsylvania"
"111","Mansfield University of Pennsylvania","16933","Pennsylvania","Tioga",508,24,1,10,7,466,"Tioga, Pennsylvania"
"112","Lebanon Valley College","17003","Pennsylvania","Lebanon",539,4,2,12,8,513,"Lebanon, Pennsylvania"
"113","Elizabethtown College","17022","Pennsylvania","Lancaster",625,8,1,21,5,590,"Lancaster, Pennsylvania"
"114","Messiah College","17027","Pennsylvania","Cumberland",787,10,3,18,10,746,"Cumberland, Pennsylvania"
"115","Pennsylvania State U, Harrisburg-Capital Col","17057","Pennsylvania","Dauphin",847,43,3,58,26,717,"Dauphin, Pennsylvania"
"116","Bradley Academy for Visual Arts","17403","Pennsylvania","York",69,5,1,3,3,57,"York, Pennsylvania"
"117","York College Pennsylvania","17403","Pennsylvania","York",1119,15,2,23,18,1061,"York, Pennsylvania"
"118","Millersville University of Pennsylvania","17551","Pennsylvania","Lancaster",1613,40,5,35,53,1480,"Lancaster, Pennsylvania"
"119","Franklin and Marshall College","17604","Pennsylvania","Lancaster",520,8,2,33,25,452,"Lancaster, Pennsylvania"
"120","Pennsylvania College of Technology","17701","Pennsylvania","Lycoming",1706,31,4,29,32,1610,"Lycoming, Pennsylvania"
"121","Lycoming College","17701","Pennsylvania","Lycoming",198,6,1,1,2,188,"Lycoming, Pennsylvania"
"122","Bloomsburg University of Pennsylvania","17815","Pennsylvania","Columbia",1848,36,2,26,38,1746,"Columbia, Pennsylvania"
"123","Bucknell University","17837","Pennsylvania","Union",1414,18,1,89,47,1259,"Union, Pennsylvania"
"124","Lehigh University","18015","Pennsylvania","Northampton",2255,60,1,197,102,1895,"Northampton, Pennsylvania"
"125","Lafayette College","18042","Pennsylvania","Northampton",966,31,2,47,52,834,"Northampton, Pennsylvania"
"126","Cedar Crest College","18104","Pennsylvania","Lehigh",808,44,4,26,51,683,"Lehigh, Pennsylvania"
"127","East Stroudsburg University of Pennsylvania","18301","Pennsylvania","Monroe",1336,51,4,41,71,1169,"Monroe, Pennsylvania"
"128","Marywood College","18509","Pennsylvania","Lackawanna",598,5,2,22,14,555,"Lackawanna, Pennsylvania"
"129","University of Scranton","18510","Pennsylvania","Lackawanna",1392,21,2,46,66,1257,"Lackawanna, Pennsylvania"
"130","College Misericordia","18612","Pennsylvania","Luzerne",1095,14,4,8,10,1059,"Luzerne, Pennsylvania"
"131","King's College (Wilkes-Barre, PA)","18711","Pennsylvania","Luzerne",446,6,1,5,10,424,"Luzerne, Pennsylvania"
"132","Wilkes University","18766","Pennsylvania","Luzerne",718,8,2,26,8,674,"Luzerne, Pennsylvania"
"133","Delaware Valley College","18901","Pennsylvania","Bucks",1073,17,3,4,22,1027,"Bucks, Pennsylvania"
"134","Bryn Mawr College","19010","Pennsylvania","Delaware",260,18,1,66,19,156,"Delaware, Pennsylvania"
"135","Widener University, All Campuses","19013","Pennsylvania","Delaware",1134,143,4,46,31,910,"Delaware, Pennsylvania"
"136","Neumann College","19014","Pennsylvania","Delaware",381,57,1,5,13,305,"Delaware, Pennsylvania"
"137","Beaver College","19038","Pennsylvania","Montgomery",511,36,1,34,18,422,"Montgomery, Pennsylvania"
"138","Haverford College","19041","Pennsylvania","Delaware",389,23,2,45,21,298,"Delaware, Pennsylvania"
"139","Swarthmore College","19081","Pennsylvania","Delaware",426,27,4,108,35,252,"Delaware, Pennsylvania"
"140","Villanova University","19085","Pennsylvania","Delaware",2893,106,2,238,131,2416,"Delaware, Pennsylvania"
"141","Cabrini College","19087","Pennsylvania","Chester",186,8,2,6,8,162,"Chester, Pennsylvania"
"142","Art Institute of Philadelphia","19103","Pennsylvania","Philadelphia",203,35,1,8,27,132,"Philadelphia, Pennsylvania"
"143","Philadelphia College of Pharmacy and Science","19104","Pennsylvania","Philadelphia",1439,77,4,573,30,755,"Philadelphia, Pennsylvania"
"144","Drexel University","19104","Pennsylvania","Philadelphia",6576,628,12,1013,272,4651,"Philadelphia, Pennsylvania"
"145","Thomas Jefferson University","19107","Pennsylvania","Philadelphia",1987,174,3,270,68,1472,"Philadelphia, Pennsylvania"
"146","Holy Family College (Philadelphia, PA)","19114","Pennsylvania","Philadelphia",641,63,2,70,23,483,"Philadelphia, Pennsylvania"
"147","Temple University","19122","Pennsylvania","Philadelphia",5043,813,30,1080,171,2949,"Philadelphia, Pennsylvania"
"148","La Salle University","19141","Pennsylvania","Philadelphia",1554,364,4,110,82,994,"Philadelphia, Pennsylvania"
"149","Philadelphia College of Textiles and Science","19144","Pennsylvania","Philadelphia",384,72,2,23,26,261,"Philadelphia, Pennsylvania"
"150","Immaculata College","19345","Pennsylvania","Chester",1397,229,5,34,16,1113,"Chester, Pennsylvania"
"151","West Chester University of Pennsylvania","19383","Pennsylvania","Chester",2536,192,10,95,59,2180,"Chester, Pennsylvania"
"152","Gwynedd-Mercy College","19437","Pennsylvania","Montgomery",744,90,2,33,7,612,"Montgomery, Pennsylvania"
"153","Kutztown University of Pennsylvania","19530","Pennsylvania","Berks",941,33,1,19,34,854,"Berks, Pennsylvania"
"154","Alvernia College","19607","Pennsylvania","Berks",820,182,2,14,46,576,"Berks, Pennsylvania"
"155","University of Delaware","19716","Delaware","New Castle",5172,245,8,304,231,4384,"New Castle, Delaware"
"156","Wilmington College (New Castle, DE)","19720","Delaware","New Castle",848,195,8,27,22,596,"New Castle, Delaware"
"157","Wesley College (Dover, DE)","19901","Delaware","Kent",287,55,1,5,5,221,"Kent, Delaware"
"158","Gallaudet University","20002","District of Columbia","District of Columbia",164,11,4,16,11,122,"District of Columbia, District of Columbia"
"159","University of the District of Columbia","20008","District of Columbia","District of Columbia",424,322,1,39,22,40,"District of Columbia, District of Columbia"
"160","American University","20016","District of Columbia","District of Columbia",318,19,1,37,15,246,"District of Columbia, District of Columbia"
"161","Trinity College (Washington, DC)","20017","District of Columbia","District of Columbia",191,148,1,7,18,17,"District of Columbia, District of Columbia"
"162","Strayer College","20036","District of Columbia","District of Columbia",1636,578,9,164,91,794,"District of Columbia, District of Columbia"
"163","George Washington University","20052","District of Columbia","District of Columbia",1743,192,9,346,112,1084,"District of Columbia, District of Columbia"
"164","Georgetown University","20057","District of Columbia","District of Columbia",1395,69,2,152,66,1106,"District of Columbia, District of Columbia"
"165","Howard University","20059","District of Columbia","District of Columbia",1470,1426,1,28,9,6,"District of Columbia, District of Columbia"
"166","Catholic University of America","20064","District of Columbia","District of Columbia",610,48,2,28,43,489,"District of Columbia, District of Columbia"
"167","St Mary's College of Maryland","20686","Maryland","St. Mary's",475,19,1,23,16,416,"St. Mary's, Maryland"
"168","Bowie State University","20715","Maryland","Prince George's",1001,915,4,32,16,34,"Prince George's, Maryland"
"169","University of Maryland at College Park","20742","Maryland","Prince George's",10017,957,22,2214,520,6304,"Prince George's, Maryland"
"170","University of Maryland University College","20742","Maryland","Prince George's",3362,889,12,280,224,1957,"Prince George's, Maryland"
"171","Villa Julie College","21153","Maryland","Baltimore",1150,211,2,54,24,859,"Baltimore, Maryland"
"172","University of Maryland at Baltimore","21201","Maryland","Baltimore City",1615,384,8,227,70,926,"Baltimore City, Maryland"
"173","Goucher College","21204","Maryland","Baltimore",142,10,1,9,7,115,"Baltimore, Maryland"
"174","Towson State University","21204","Maryland","Baltimore",4457,681,18,267,144,3347,"Baltimore, Maryland"
"175","Loyola College","21210","Maryland","Baltimore City",700,30,3,27,27,613,"Baltimore City, Maryland"
"176","College of Notre Dame Maryland","21210","Maryland","Baltimore City",748,209,3,24,11,501,"Baltimore City, Maryland"
"177","Johns Hopkins University","21218","Maryland","Baltimore City",4169,267,18,1182,317,2385,"Baltimore City, Maryland"
"178","University of Maryland Baltimore County","21228","Maryland","Baltimore",4139,687,13,1146,128,2165,"Baltimore, Maryland"
"179","Morgan State University","21239","Maryland","Baltimore City",1031,920,3,54,25,29,"Baltimore City, Maryland"
"180","United States Naval Academy","21402","Maryland","Anne Arundel",2805,110,16,125,295,2259,"Anne Arundel, Maryland"
"181","Washington College","21620","Maryland","Kent",294,10,1,2,5,276,"Kent, Maryland"
"182","Hood College","21701","Maryland","Frederick",329,24,1,16,14,274,"Frederick, Maryland"
"183","Mount St Mary's College and Seminary","21727","Maryland","Frederick",218,18,1,10,17,172,"Frederick, Maryland"
"184","Salisbury State University","21801","Maryland","Wicomico",2042,198,7,71,47,1719,"Wicomico, Maryland"
"185","University of Maryland Eastern Shore","21853","Maryland","Somerset",812,624,1,19,25,143,"Somerset, Maryland"
"186","George Mason University","22030","Virginia","Fairfax",4540,474,18,1388,406,2254,"Fairfax, Virginia"
"187","Marymount University","22207","Virginia","Arlington",876,158,4,104,92,518,"Arlington, Virginia"
"188","Mary Washington College","22401","Virginia","Fredericksburg City",701,17,2,56,28,598,"Fredericksburg City, Virginia"
"189","Shenandoah University","22601","Virginia","Winchester City",659,187,2,52,13,405,"Winchester City, Virginia"
"190","Eastern Mennonite University","22801","Virginia","Harrisonburg City",577,22,2,5,12,536,"Harrisonburg City, Virginia"
"191","James Madison University","22807","Virginia","Harrisonburg City",4293,161,13,335,105,3679,"Harrisonburg City, Virginia"
"192","Bridgewater College","22812","Virginia","Rockingham",302,26,3,3,8,262,"Rockingham, Virginia"
"193","University of Virginia, Main Campus","22903","Virginia","Albemarle",5135,308,9,984,187,3647,"Albemarle, Virginia"
"194","Randolph-Macon College","23005","Virginia","Hanover",240,23,3,9,5,200,"Hanover, Virginia"
"195","University of Richmond","23173","Virginia","Richmond City",451,33,1,32,11,374,"Richmond City, Virginia"
"196","College of William and Mary","23185","Virginia","Williamsburg City",972,40,7,108,62,755,"Williamsburg City, Virginia"
"197","ECPI Computer Institute-Capital Center","23230","Virginia","Henrico",91,24,1,3,1,62,"Henrico, Virginia"
"198","Virginia Commonwealth University","23284","Virginia","Richmond City",4969,774,20,1005,188,2982,"Richmond City, Virginia"
"199","ECPI College of Technology","23462","Virginia","Virginia Beach City",2410,695,19,114,123,1459,"Virginia Beach City, Virginia"
"200","Norfolk State University","23504","Virginia","Norfolk City",1076,950,4,31,25,66,"Norfolk City, Virginia"
"201","Old Dominion University","23529","Virginia","Norfolk City",4927,956,22,333,218,3398,"Norfolk City, Virginia"
"202","Christopher Newport University","23606","Virginia","Newport News City",1002,62,7,37,29,867,"Newport News City, Virginia"
"203","Hampton University","23668","Virginia","Hampton City",1015,899,3,25,22,66,"Hampton City, Virginia"
"204","Longwood College","23901","Virginia","Prince Edward",522,23,6,12,9,472,"Prince Edward, Virginia"
"205","Hampden-Sydney College","23943","Virginia","Prince Edward",155,3,2,2,1,147,"Prince Edward, Virginia"
"206","Virginia Polytechnic Institute and State Univ","24061","Virginia","Montgomery",10127,330,24,1037,317,8419,"Montgomery, Virginia"
"207","Radford University","24142","Virginia","Radford City",1520,82,3,38,23,1374,"Radford City, Virginia"
"208","Roanoke College","24153","Virginia","Salem City",322,9,1,4,4,304,"Salem City, Virginia"
"209","Mary Baldwin College","24401","Virginia","Staunton City",96,16,1,8,3,68,"Staunton City, Virginia"
"210","Lynchburg College","24501","Virginia","Lynchburg City",545,37,3,9,9,487,"Lynchburg City, Virginia"
"211","Randolph-Macon Woman's College","24503","Virginia","Lynchburg City",99,9,2,9,7,72,"Lynchburg City, Virginia"
"212","Liberty University","24506","Virginia","Lynchburg City",2138,186,11,50,80,1811,"Lynchburg City, Virginia"
"213","Averett College","24541","Virginia","Danville City",107,19,1,1,4,82,"Danville City, Virginia"
"214","Sweet Briar College","24595","Virginia","Amherst",168,3,2,1,10,152,"Amherst, Virginia"
"215","Bluefield State College","24701","West Virginia","Mercer",329,13,2,4,3,307,"Mercer, West Virginia"
"216","West Virginia University Institute of Technology","25136","West Virginia","Fayette",396,22,1,7,5,361,"Fayette, West Virginia"
"217","Shepherd College","25443","West Virginia","Jefferson",624,16,2,22,18,566,"Jefferson, West Virginia"
"218","Marshall University","25755","West Virginia","Cabell",1608,57,7,22,20,1502,"Cabell, West Virginia"
"219","College of West Virginia","25802","West Virginia","Raleigh",1113,164,7,9,16,917,"Raleigh, West Virginia"
"220","Wheeling Jesuit University","26003","West Virginia","Ohio",378,10,1,8,5,354,"Ohio, West Virginia"
"221","West Virginia Wesleyan College","26201","West Virginia","Upshur",346,6,1,4,11,324,"Upshur, West Virginia"
"222","Alderson Broaddus College","26416","West Virginia","Barbour",261,2,2,5,1,251,"Barbour, West Virginia"
"223","West Virginia University","26506","West Virginia","Monongalia",6344,106,22,155,93,5968,"Monongalia, West Virginia"
"224","Fairmont State College","26554","West Virginia","Marion",806,12,2,5,11,776,"Marion, West Virginia"
"225","Salem College","27108","North Carolina","Forsyth",76,9,1,1,2,63,"Forsyth, North Carolina"
"226","Wake Forest University","27109","North Carolina","Forsyth",1017,74,6,82,35,820,"Forsyth, North Carolina"
"227","Winston-Salem State University","27110","North Carolina","Forsyth",3196,1587,27,53,52,1477,"Forsyth, North Carolina"
"228","High Point University","27262","North Carolina","Guilford",398,38,1,12,11,336,"Guilford, North Carolina"
"229","Guilford College","27410","North Carolina","Guilford",492,73,3,10,16,390,"Guilford, North Carolina"
"230","North Carolina Agricultural & Tech State Univ","27411","North Carolina","Guilford",2092,1808,6,46,43,189,"Guilford, North Carolina"
"231","University of North Carolina at Greensboro","27412","North Carolina","Guilford",2978,691,14,167,104,2002,"Guilford, North Carolina"
"232","Campbell University","27506","North Carolina","Harnett",831,163,11,22,28,607,"Harnett, North Carolina"
"233","University of North Carolina at Chapel Hill","27599","North Carolina","Orange",5480,413,30,667,319,4051,"Orange, North Carolina"
"234","North Carolina State University at Raleigh","27695","North Carolina","Wake",11921,744,56,840,318,9963,"Wake, North Carolina"
"235","Duke University","27706","North Carolina","Durham",3023,164,15,996,149,1699,"Durham, North Carolina"
"236","North Carolina Central University","27707","North Carolina","Durham",837,693,1,30,13,100,"Durham, North Carolina"
"237","North Carolina Wesleyan College","27804","North Carolina","Nash",228,104,2,9,5,108,"Nash, North Carolina"
"238","East Carolina University","27858","North Carolina","Pitt",6035,783,53,206,134,4859,"Pitt, North Carolina"
"239","Barton College","27893","North Carolina","Wilson",189,23,1,3,4,158,"Wilson, North Carolina"
"240","Belmont Abbey College","28012","North Carolina","Gaston",70,5,1,2,7,55,"Gaston, North Carolina"
"241","Gardner-Webb University","28017","North Carolina","Cleveland",664,79,3,7,14,561,"Cleveland, North Carolina"
"242","Davidson College","28036","North Carolina","Mecklenburg",349,12,1,27,16,293,"Mecklenburg, North Carolina"
"243","Pfeiffer University","28109","North Carolina","Stanly",176,34,1,2,5,134,"Stanly, North Carolina"
"244","Wingate University","28174","North Carolina","Union",168,7,1,7,5,148,"Union, North Carolina"
"245","University of North Carolina at Charlotte","28223","North Carolina","Mecklenburg",4815,550,26,311,211,3717,"Mecklenburg, North Carolina"
"246","Queens College","28274","North Carolina","Mecklenburg",633,121,4,32,27,449,"Mecklenburg, North Carolina"
"247","Fayetteville State University","28301","North Carolina","Cumberland",511,323,6,13,41,128,"Cumberland, North Carolina"
"248","Methodist College","28311","North Carolina","Cumberland",172,18,5,2,12,135,"Cumberland, North Carolina"
"249","St Andrews Presbyterian College","28352","North Carolina","Scotland",93,5,2,2,1,83,"Scotland, North Carolina"
"250","Mount Olive College","28365","North Carolina","Duplin",732,294,2,6,13,417,"Duplin, North Carolina"
"251","University of North Carolina at Pembroke","28372","North Carolina","Robeson",836,168,191,23,54,400,"Robeson, North Carolina"
"252","University of North Carolina at Wilmington","28403","North Carolina","New Hanover",2886,100,26,58,109,2593,"New Hanover, North Carolina"
"253","Lenoir-Rhyne College","28603","North Carolina","Catawba",400,16,1,18,7,358,"Catawba, North Carolina"
"254","Appalachian State University","28608","North Carolina","Watauga",2601,63,15,46,53,2424,"Watauga, North Carolina"
"255","Brevard College","28712","North Carolina","Transylvania",104,9,1,1,4,89,"Transylvania, North Carolina"
"256","Western Carolina University","28723","North Carolina","Jackson",2289,78,29,33,43,2106,"Jackson, North Carolina"
"257","University of North Carolina at Asheville","28804","North Carolina","Buncombe",987,24,4,13,23,923,"Buncombe, North Carolina"
"258","Newberry College","29108","South Carolina","Newberry",175,22,1,2,2,148,"Newberry, South Carolina"
"259","Columbia College (Columbia, SC)","29203","South Carolina","Richland",158,49,1,5,5,98,"Richland, South Carolina"
"260","Columbia Junior College","29203","South Carolina","Richland",231,152,14,10,4,51,"Richland, South Carolina"
"261","University of South Carolina at Columbia","29208","South Carolina","Richland",5037,597,12,263,144,4021,"Richland, South Carolina"
"262","Converse College","29301","South Carolina","Spartanburg",94,10,1,4,7,72,"Spartanburg, South Carolina"
"263","University of South Carolina at Spartanburg","29303","South Carolina","Spartanburg",1733,333,6,45,73,1276,"Spartanburg, South Carolina"
"264","Wofford College","29303","South Carolina","Spartanburg",498,19,3,32,5,439,"Spartanburg, South Carolina"
"265","Presbyterian College","29325","South Carolina","Laurens",254,6,2,1,8,237,"Laurens, South Carolina"
"266","Limestone College","29340","South Carolina","Cherokee",362,135,1,3,8,215,"Cherokee, South Carolina"
"267","Citadel Military College of South Carolina","29409","South Carolina","Charleston",523,31,2,16,23,451,"Charleston, South Carolina"
"268","College of Charleston","29424","South Carolina","Charleston",1624,60,6,65,38,1455,"Charleston, South Carolina"
"269","Medical University of South Carolina","29425","South Carolina","Charleston",742,86,5,24,29,598,"Charleston, South Carolina"
"270","Francis Marion University","29501","South Carolina","Florence",889,306,6,12,9,556,"Florence, South Carolina"
"271","Coastal Carolina University","29526","South Carolina","Horry",1413,177,3,18,40,1175,"Horry, South Carolina"
"272","Clemson University","29634","South Carolina","Pickens",6674,414,27,170,111,5952,"Pickens, South Carolina"
"273","Lander University","29649","South Carolina","Greenwood",546,99,1,7,4,435,"Greenwood, South Carolina"
"274","Winthrop University","29733","South Carolina","York",533,146,3,17,6,361,"York, South Carolina"
"275","University of South Carolina at Aiken","29801","South Carolina","Aiken",776,203,6,12,27,528,"Aiken, South Carolina"
"276","University of South Carolina at Beaufort","29902","South Carolina","Beaufort",153,16,1,2,13,121,"Beaufort, South Carolina"
"277","DeVry Institute of Tech (Decatur, GA)","30030","Georgia","Dekalb",529,281,2,38,15,193,"Dekalb, Georgia"
"278","Southern Polytechnic State University","30060","Georgia","Cobb",1935,419,5,141,102,1268,"Cobb, Georgia"
"279","Kennesaw State University","30061","Georgia","Cobb",3076,462,17,197,140,2260,"Cobb, Georgia"
"280","State University of West Georgia","30118","Georgia","Carroll",1647,411,3,47,48,1138,"Carroll, Georgia"
"281","Berry College","30149","Georgia","Floyd",471,20,1,12,11,427,"Floyd, Georgia"
"282","Shorter College (Rome, GA)","30161","Georgia","Floyd",179,14,1,8,6,150,"Floyd, Georgia"
"283","Gordon College (Barnesville, GA)","30204","Georgia","Lamar",137,43,1,6,5,82,"Lamar, Georgia"
"284","Clayton State College","30260","Georgia","Clayton",1498,873,3,145,63,414,"Clayton, Georgia"
"285","Georgia State University","30303","Georgia","Fulton",2993,994,9,691,171,1128,"Fulton, Georgia"
"286","Herzing College of Business and Technology","30308","Georgia","Fulton",104,76,1,13,3,11,"Fulton, Georgia"
"287","Emory University","30322","Georgia","Dekalb",2246,295,8,718,89,1136,"Dekalb, Georgia"
"288","Art Institute of Atlanta","30326","Georgia","Fulton",436,187,1,19,43,186,"Fulton, Georgia"
"289","Georgia Institute of Technology, Main Campus","30332","Georgia","Fulton",9513,618,12,1873,566,6444,"Fulton, Georgia"
"290","Georgia Southern University","30460","Georgia","Bulloch",3367,729,6,59,92,2481,"Bulloch, Georgia"
"291","Brenau University","30501","Georgia","Hall",544,135,1,18,23,367,"Hall, Georgia"
"292","North Georgia College","30597","Georgia","Lumpkin",510,26,2,10,14,458,"Lumpkin, Georgia"
"293","University of Georgia","30602","Georgia","Clarke",6272,403,11,771,186,4901,"Clarke, Georgia"
"294","Dalton College","30720","Georgia","Whitfield",101,2,3,4,12,80,"Whitfield, Georgia"
"295","Medical College of Georgia","30912","Georgia","Richmond",931,136,1,58,30,706,"Richmond, Georgia"
"296","Georgia College and State University","31061","Georgia","Baldwin",1187,81,4,20,22,1060,"Baldwin, Georgia"
"297","Mercer University","31207","Georgia","Bibb",1442,345,4,138,56,899,"Bibb, Georgia"
"298","Macon College","31297","Georgia","Bibb",666,200,3,19,16,428,"Bibb, Georgia"
"299","Savannah College of Art and Design","31401","Georgia","Chatham",123,10,1,2,9,101,"Chatham, Georgia"
"300","Savannah State University","31404","Georgia","Chatham",531,501,1,5,6,18,"Chatham, Georgia"
"301","South College (Savannah, GA)","31406","Georgia","Chatham",564,121,4,10,27,402,"Chatham, Georgia"
"302","Armstrong Atlantic State University","31419","Georgia","Chatham",2131,510,4,81,93,1443,"Chatham, Georgia"
"303","Valdosta State University","31698","Georgia","Lowndes",1401,295,3,31,38,1034,"Lowndes, Georgia"
"304","Georgia Southwestern State University","31709","Georgia","Sumter",438,109,2,13,4,310,"Sumter, Georgia"
"305","Columbus State University","31993","Georgia","Muscogee",1219,437,7,37,65,673,"Muscogee, Georgia"
"306","Bethune Cookman College","32115","Florida","Volusia",451,393,1,18,9,30,"Volusia, Florida"
"307","Jacksonville University","32211","Florida","Duval",1818,258,17,79,94,1370,"Duval, Florida"
"308","University of North Florida","32216","Florida","Duval",3924,400,13,355,264,2892,"Duval, Florida"
"309","Florida State University","32306","Florida","Leon",7449,754,52,407,996,5240,"Leon, Florida"
"310","University of West Florida","32514","Florida","Escambia",2264,180,18,154,123,1789,"Escambia, Florida"
"311","Santa Fe Community College (Gainesville, FL)","32601","Florida","Alachua",138,15,1,6,5,111,"Alachua, Florida"
"312","University of Florida","32611","Florida","Alachua",15164,1145,58,1632,2367,9962,"Alachua, Florida"
"313","Stetson University","32720","Florida","Volusia",349,14,1,12,35,287,"Volusia, Florida"
"314","Rollins College","32789","Florida","Orange",314,13,2,22,34,243,"Orange, Florida"
"315","Jones College, All Campuses","32810","Florida","Orange",91,65,1,3,3,19,"Orange, Florida"
"316","University of Central Florida","32816","Florida","Orange",12687,1319,57,1081,2067,8163,"Orange, Florida"
"317","University of Miami","33124","Florida","Miami-Dade",3478,326,7,376,1131,1638,"Miami-Dade, Florida"
"318","International Fine Arts College","33132","Florida","Miami-Dade",212,33,1,11,85,82,"Miami-Dade, Florida"
"319","Barry University","33161","Florida","Miami-Dade",1354,402,4,43,619,286,"Miami-Dade, Florida"
"320","Florida International University","33199","Florida","Miami-Dade",6869,887,10,421,4651,900,"Miami-Dade, Florida"
"321","Nova Southeastern University","33314","Florida","Broward",2808,562,9,257,862,1118,"Broward, Florida"
"322","Art Institute of Fort Lauderdale","33316","Florida","Broward",162,29,1,6,76,50,"Broward, Florida"
"323","Keiser College of Technology","33319","Florida","Broward",700,242,1,15,138,304,"Broward, Florida"
"324","Palm Beach Atlantic College","33402","Florida","Palm Beach",330,18,3,18,37,254,"Palm Beach, Florida"
"325","South College (West Palm Beach, FL)","33409","Florida","Palm Beach",329,150,1,13,52,113,"Palm Beach, Florida"
"326","Florida Atlantic University","33431","Florida","Palm Beach",4824,1168,17,380,912,2347,"Palm Beach, Florida"
"327","St Leo College","33574","Florida","Pasco",1263,449,6,36,113,659,"Pasco, Florida"
"328","University of Tampa","33606","Florida","Hillsborough",755,57,1,22,81,594,"Hillsborough, Florida"
"329","University of South Florida","33620","Florida","Hillsborough",8919,935,33,1033,1374,5544,"Hillsborough, Florida"
