"","school","zip","state","county","total_STEM_degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White","id"
"821","Colorado Tech","80907","Colorado","El Paso",216,11,1,11,19,174,"El Paso, Colorado"
"822","University of Colorado at Colorado Springs","80933","Colorado","El Paso",1851,49,18,136,172,1476,"El Paso, Colorado"
"823","University of Southern Colorado","81001","Colorado","Pueblo",1152,51,14,49,240,798,"Pueblo, Colorado"
"824","Adams State College","81102","Colorado","Alamosa",291,12,7,5,59,208,"Alamosa, Colorado"
"825","Western State College Colorado","81231","Colorado","Gunnison",452,6,4,4,14,424,"Gunnison, Colorado"
"826","Fort Lewis College","81301","Colorado","La Plata",692,6,135,4,43,504,"La Plata, Colorado"
"827","Mesa State College","81502","Colorado","Mesa",1030,6,11,21,77,915,"Mesa, Colorado"
"828","University of Wyoming","82071","Wyoming","Albany",3145,22,16,42,101,2964,"Albany, Wyoming"
"829","Idaho State University","83201","Idaho","Bannock",2066,18,22,53,87,1886,"Bannock, Idaho"
"830","Ricks College","83460","Idaho","Madison",4096,16,18,62,135,3865,"Madison, Idaho"
"831","Lewis-Clark State College","83501","Idaho","Nez Perce",577,5,5,8,22,537,"Nez Perce, Idaho"
"832","Northwest Nazarene College","83686","Idaho","Canyon",284,4,1,8,15,256,"Canyon, Idaho"
"833","Boise State University","83725","Idaho","Ada",2995,40,34,116,149,2656,"Ada, Idaho"
"834","University of Idaho","83843","Idaho","Latah",2389,5,18,41,87,2238,"Latah, Idaho"
"835","Utah Valley State College","84058","Utah","Utah",1895,9,20,39,94,1733,"Utah, Utah"
"836","Westminster College of Salt Lake City","84105","Utah","Salt Lake",702,7,2,32,55,606,"Salt Lake, Utah"
"837","University of Utah","84112","Utah","Salt Lake",6272,58,39,400,272,5503,"Salt Lake, Utah"
"838","ITT Technical Institute (Scl, UT)","84123","Utah","Salt Lake",190,6,3,7,11,163,"Salt Lake, Utah"
"839","Utah State University","84322","Utah","Cache",3385,33,23,84,238,3007,"Cache, Utah"
"840","Stevens Henager College of Business","84401","Utah","Weber",287,1,1,5,17,263,"Weber, Utah"
"841","Weber State University","84408","Utah","Weber",2853,32,18,82,96,2625,"Weber, Utah"
"842","Brigham Young University, Main Campus","84602","Utah","Utah",9125,21,35,234,358,8477,"Utah, Utah"
"843","Southern Utah University","84720","Utah","Iron",975,7,11,15,25,917,"Iron, Utah"
"844","Dixie College","84770","Utah","Washington",412,1,2,5,9,395,"Washington, Utah"
"845","ITT Technical Institute (Phoenix, AZ)","85008","Arizona","Maricopa",157,19,19,8,23,88,"Maricopa, Arizona"
"846","Grand Canyon University","85017","Arizona","Maricopa",5563,654,40,1154,514,3201,"Maricopa, Arizona"
"847","Western International University","85021","Arizona","Maricopa",85,4,4,2,13,62,"Maricopa, Arizona"
"848","DeVry Institute of Tech (Phoenix, AZ)","85021","Arizona","Maricopa",492,27,17,54,76,318,"Maricopa, Arizona"
"849","Arizona State University Main","85287","Arizona","Maricopa",11787,341,192,1177,1700,8377,"Maricopa, Arizona"
"850","ITT Technical Institute (Tucson, AZ)","85714","Arizona","Pima",83,9,4,4,24,42,"Pima, Arizona"
"851","University of Arizona","85721","Arizona","Pima",8193,237,111,892,1322,5631,"Pima, Arizona"
"852","Northern Arizona University","86011","Arizona","Coconino",4809,100,227,143,658,3681,"Coconino, Arizona"
"853","University of New Mexico, All Campuses","87131","New Mexico","Bernalillo",3875,89,163,244,1406,1973,"Bernalillo, New Mexico"
"854","New Mexico Institute of Mining and Technology","87801","New Mexico","Socorro",844,15,23,25,206,575,"Socorro, New Mexico"
"855","New Mexico State University, All Campuses","88003","New Mexico","Dona Ana",3060,58,119,84,1324,1475,"Dona Ana, New Mexico"
"856","Western New Mexico University","88061","New Mexico","Grant",152,3,1,1,65,82,"Grant, New Mexico"
"857","Eastern New Mexico U, All Campuses","88130","New Mexico","Roosevelt",442,14,6,12,122,288,"Roosevelt, New Mexico"
"858","University of Nevada-Las Vegas","89154","Nevada","Clark",3028,207,25,782,456,1558,"Clark, Nevada"
"859","University of Nevada-Reno","89557","Nevada","Washoe",4059,59,25,394,351,3230,"Washoe, Nevada"
"860","University of California-Los Angeles","90024","California","Los Angeles",9984,196,33,5724,965,3066,"Los Angeles, California"
"861","California State University-Los Angeles","90032","California","Los Angeles",2301,164,2,906,820,409,"Los Angeles, California"
"862","Occidental College","90041","California","Los Angeles",569,19,6,117,78,349,"Los Angeles, California"
"863","Loyola Marymount University","90045","California","Los Angeles",799,40,3,155,188,413,"Los Angeles, California"
"864","Mount St Mary's College","90049","California","Los Angeles",740,37,4,308,185,206,"Los Angeles, California"
"865","Whittier College","90608","California","Los Angeles",163,1,5,20,52,85,"Los Angeles, California"
"866","ITT Technical Institute (Buena Park, CA)","90620","California","Orange",163,8,5,32,59,59,"Orange, California"
"867","Biola University","90639","California","Los Angeles",551,10,6,86,64,385,"Los Angeles, California"
"868","California State University-Dominguez Hills","90747","California","Los Angeles",1513,238,9,352,425,489,"Los Angeles, California"
"869","California State University-Long Beach","90840","California","Los Angeles",5506,200,149,2256,1135,1766,"Los Angeles, California"
"870","California State University-Northridge","91330","California","Los Angeles",3332,192,8,860,759,1513,"Los Angeles, California"
"871","California Lutheran University","91360","California","Ventura",492,17,3,42,92,338,"Ventura, California"
"872","ITT Technical Institute (Van Nuys, CA)","91405","California","Los Angeles",104,8,2,9,45,40,"Los Angeles, California"
"873","Azusa Pacific University","91702","California","Los Angeles",1354,103,11,302,198,740,"Los Angeles, California"
"874","Pitzer College","91711","California","Los Angeles",141,5,2,18,28,88,"Los Angeles, California"
"875","Harvey Mudd College","91711","California","Los Angeles",709,10,8,165,61,465,"Los Angeles, California"
"876","Pomona College","91711","California","Los Angeles",549,22,3,122,63,339,"Los Angeles, California"
"877","DeVry Institute of Tech (Cty of Industry, CA)","91744","California","Los Angeles",1220,72,3,377,310,458,"Los Angeles, California"
