"","county","state","county_12th_hispanic","county_12th_white","county_12th_black","county_12th_native","county_12th_asianPI","id","total"
"2997","Barbour"," West Virginia",0,215,0,0,0,"Barbour, West Virginia",215
"2998","Berkeley"," West Virginia",91,1002,217,0,19,"Berkeley, West Virginia",1329
"2999","Boone"," West Virginia",0,252,23,0,0,"Boone, West Virginia",275
"3000","Braxton"," West Virginia",3,146,0,0,0,"Braxton, West Virginia",149
"3001","Brooke"," West Virginia",17,324,0,0,0,"Brooke, West Virginia",341
"3002","Cabell"," West Virginia",0,799,89,0,24,"Cabell, West Virginia",912
"3003","Calhoun"," West Virginia",0,77,3,0,0,"Calhoun, West Virginia",80
"3004","Clay"," West Virginia",0,133,0,0,0,"Clay, West Virginia",133
"3005","Doddridge"," West Virginia",0,134,0,0,0,"Doddridge, West Virginia",134
"3006","Fayette"," West Virginia",0,500,80,17,0,"Fayette, West Virginia",597
"3007","Gilmer"," West Virginia",0,41,44,0,0,"Gilmer, West Virginia",85
"3008","Grant"," West Virginia",0,242,0,0,0,"Grant, West Virginia",242
"3009","Greenbrier"," West Virginia",27,379,17,0,0,"Greenbrier, West Virginia",423
"3010","Hampshire"," West Virginia",7,239,27,0,0,"Hampshire, West Virginia",273
"3011","Hancock"," West Virginia",0,431,22,0,0,"Hancock, West Virginia",453
"3012","Hardy"," West Virginia",0,239,0,0,0,"Hardy, West Virginia",239
"3013","Harrison"," West Virginia",11,869,0,0,16,"Harrison, West Virginia",896
"3014","Jackson"," West Virginia",0,304,0,0,0,"Jackson, West Virginia",304
"3015","Jefferson"," West Virginia",14,375,175,0,55,"Jefferson, West Virginia",619
"3016","Kanawha"," West Virginia",48,1604,170,0,47,"Kanawha, West Virginia",1869
"3017","Lewis"," West Virginia",0,155,3,0,0,"Lewis, West Virginia",158
"3018","Lincoln"," West Virginia",0,184,0,0,0,"Lincoln, West Virginia",184
"3019","Logan"," West Virginia",0,395,1,0,0,"Logan, West Virginia",396
"3020","McDowell"," West Virginia",0,175,20,0,0,"McDowell, West Virginia",195
"3021","Marion"," West Virginia",0,725,30,0,0,"Marion, West Virginia",755
"3022","Marshall"," West Virginia",8,358,2,0,0,"Marshall, West Virginia",368
"3023","Mason"," West Virginia",0,217,134,0,0,"Mason, West Virginia",351
"3024","Mercer"," West Virginia",0,491,38,0,0,"Mercer, West Virginia",529
"3025","Mineral"," West Virginia",0,220,0,0,0,"Mineral, West Virginia",220
"3026","Mingo"," West Virginia",0,388,16,0,0,"Mingo, West Virginia",404
"3027","Monongalia"," West Virginia",11,636,42,0,60,"Monongalia, West Virginia",749
"3028","Monroe"," West Virginia",0,196,0,0,0,"Monroe, West Virginia",196
"3029","Morgan"," West Virginia",0,226,0,0,3,"Morgan, West Virginia",229
"3030","Nicholas"," West Virginia",0,373,0,92,0,"Nicholas, West Virginia",465
"3031","Ohio"," West Virginia",0,486,27,0,0,"Ohio, West Virginia",513
"3032","Pendleton"," West Virginia",0,97,0,0,0,"Pendleton, West Virginia",97
"3033","Pleasants"," West Virginia",0,158,0,0,0,"Pleasants, West Virginia",158
"3034","Pocahontas"," West Virginia",0,93,0,0,0,"Pocahontas, West Virginia",93
"3035","Preston"," West Virginia",0,307,51,1,0,"Preston, West Virginia",359
"3036","Putnam"," West Virginia",11,496,0,0,0,"Putnam, West Virginia",507
"3037","Raleigh"," West Virginia",23,477,220,0,0,"Raleigh, West Virginia",720
"3038","Randolph"," West Virginia",20,306,7,0,0,"Randolph, West Virginia",333
"3039","Ritchie"," West Virginia",0,178,9,0,0,"Ritchie, West Virginia",187
"3040","Roane"," West Virginia",0,136,0,0,0,"Roane, West Virginia",136
"3041","Summers"," West Virginia",0,105,51,0,0,"Summers, West Virginia",156
"3042","Taylor"," West Virginia",0,156,5,4,0,"Taylor, West Virginia",165
"3043","Tucker"," West Virginia",0,74,0,0,0,"Tucker, West Virginia",74
"3044","Tyler"," West Virginia",1,172,3,0,0,"Tyler, West Virginia",176
"3045","Upshur"," West Virginia",0,200,0,0,0,"Upshur, West Virginia",200
"3046","Wayne"," West Virginia",10,442,0,0,0,"Wayne, West Virginia",452
"3047","Webster"," West Virginia",0,78,0,0,0,"Webster, West Virginia",78
"3048","Wetzel"," West Virginia",0,140,0,0,0,"Wetzel, West Virginia",140
"3049","Wirt"," West Virginia",0,122,0,0,0,"Wirt, West Virginia",122
"3050","Wood"," West Virginia",11,814,0,0,8,"Wood, West Virginia",833
"3051","Wyoming"," West Virginia",0,213,0,0,0,"Wyoming, West Virginia",213
"3052","Adams"," Wisconsin",25,186,31,0,0,"Adams, Wisconsin",242
"3053","Ashland"," Wisconsin",0,156,0,44,6,"Ashland, Wisconsin",206
"3054","Barron"," Wisconsin",10,512,18,30,0,"Barron, Wisconsin",570
"3055","Bayfield"," Wisconsin",1,150,0,34,0,"Bayfield, Wisconsin",185
"3056","Brown"," Wisconsin",566,2889,30,166,131,"Brown, Wisconsin",3782
"3057","Buffalo"," Wisconsin",0,228,0,4,2,"Buffalo, Wisconsin",234
"3058","Burnett"," Wisconsin",7,127,1,5,0,"Burnett, Wisconsin",140
"3059","Calumet"," Wisconsin",63,831,0,15,20,"Calumet, Wisconsin",929
"3060","Chippewa"," Wisconsin",8,714,58,0,0,"Chippewa, Wisconsin",780
"3061","Clark"," Wisconsin",16,400,1,4,0,"Clark, Wisconsin",421
"3062","Columbia"," Wisconsin",22,886,25,6,19,"Columbia, Wisconsin",958
"3063","Crawford"," Wisconsin",23,209,16,0,8,"Crawford, Wisconsin",256
"3064","Dane"," Wisconsin",540,4196,600,5,317,"Dane, Wisconsin",5658
"3065","Dodge"," Wisconsin",122,1310,108,6,15,"Dodge, Wisconsin",1561
