 ,,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12,Enrolled in school:!!Enrolled in grade 12
Camas County, Idaho,36,31,0,0,0,0
Canyon County, Idaho,985,1685,0,0,39,0
Caribou County, Idaho,7,98,0,0,0,0
Cassia County, Idaho,191,280,0,0,0,0
Clark County, Idaho,5,0,0,0,0,0
Clearwater County, Idaho,7,58,0,5,0,0
Custer County, Idaho,0,61,0,0,0,0
Elmore County, Idaho,137,262,26,17,0,0
Franklin County, Idaho,0,221,0,12,0,0
Fremont County, Idaho,47,187,0,0,0,0
Gem County, Idaho,0,213,0,0,0,0
Gooding County, Idaho,103,102,0,0,8,0
Idaho County, Idaho,39,166,0,1,3,0
Jefferson County, Idaho,23,376,0,0,0,0
Jerome County, Idaho,161,59,0,1,0,0
Kootenai County, Idaho,103,2121,0,54,0,0
Latah County, Idaho,67,417,0,0,8,0
Lemhi County, Idaho,6,80,0,0,0,0
Lewis County, Idaho,0,55,0,3,0,0
Lincoln County, Idaho,21,64,0,0,0,0
Madison County, Idaho,28,387,22,0,0,0
Minidoka County, Idaho,177,154,0,0,0,0
Nez Perce County, Idaho,42,309,4,62,2,0
Oneida County, Idaho,0,73,0,0,0,0
Owyhee County, Idaho,165,149,0,18,0,0
Payette County, Idaho,92,248,0,0,0,0
Power County, Idaho,0,180,0,2,0,0
Shoshone County, Idaho,0,221,0,0,0,0
Teton County, Idaho,70,203,0,0,0,0
Twin Falls County, Idaho,188,898,0,14,44,0
Valley County, Idaho,1,219,0,0,0,0
Washington County, Idaho,20,100,0,0,8,0
Adams County, Illinois,0,800,142,0,14,0
Alexander County, Illinois,23,23,39,0,0,0
Bond County, Illinois,0,178,0,0,0,0
Boone County, Illinois,105,746,44,0,34,0
Brown County, Illinois,27,103,107,0,0,0
Bureau County, Illinois,39,416,0,0,2,0
Calhoun County, Illinois,0,49,0,0,0,0
Carroll County, Illinois,0,124,0,0,0,0
Cass County, Illinois,0,78,34,0,0,0
Champaign County, Illinois,212,1335,601,8,110,0
Christian County, Illinois,0,450,21,0,28,0
Clark County, Illinois,5,270,0,0,0,0
Clay County, Illinois,0,98,0,0,0,0
Clinton County, Illinois,31,453,22,0,0,0
Coles County, Illinois,0,536,18,0,18,0
Cook County, Illinois,24437,24108,25902,100,3262,0
Crawford County, Illinois,4,217,0,0,0,0
Cumberland County, Illinois,0,82,1,0,0,0
DeKalb County, Illinois,241,1096,60,0,24,0
De Witt County, Illinois,56,297,0,0,0,0
Douglas County, Illinois,33,266,0,0,0,0
DuPage County, Illinois,2368,9347,844,24,1309,0
Edgar County, Illinois,0,197,0,0,0,0
Edwards County, Illinois,0,79,3,0,0,0
Effingham County, Illinois,19,443,0,0,0,0
Fayette County, Illinois,0,237,0,0,55,0
Ford County, Illinois,15,238,0,0,6,0
Franklin County, Illinois,27,432,1,0,0,0
Fulton County, Illinois,37,435,29,0,0,0
Gallatin County, Illinois,0,46,0,0,0,0
Greene County, Illinois,2,184,4,0,0,0
Grundy County, Illinois,28,654,0,0,0,0
Hamilton County, Illinois,10,128,1,0,0,0
Hancock County, Illinois,12,195,0,12,0,0
Hardin County, Illinois,0,46,12,0,0,0
Henderson County, Illinois,1,63,0,0,0,0
Henry County, Illinois,20,530,37,0,0,0
Iroquois County, Illinois,9,366,0,0,0,0
Jackson County, Illinois,31,324,134,0,90,0
Jasper County, Illinois,0,144,1,0,1,0
Jefferson County, Illinois,55,378,24,6,0,0
Jersey County, Illinois,10,193,0,0,0,0
Jo Daviess County, Illinois,11,148,0,0,8,0
Johnson County, Illinois,0,169,8,0,0,0
Kane County, Illinois,2956,4000,906,4,309,0
Kankakee County, Illinois,135,1079,348,14,16,0
Kendall County, Illinois,316,965,17,0,38,0
Knox County, Illinois,72,525,107,0,0,0
Lake County, Illinois,2929,6783,1120,24,681,28
La Salle County, Illinois,131,1263,92,0,0,0
Lawrence County, Illinois,10,108,136,0,0,0
Lee County, Illinois,94,517,123,0,0,0
Livingston County, Illinois,59,352,78,0,6,0
Logan County, Illinois,73,295,313,0,0,0
McDonough County, Illinois,29,264,39,0,0,0
McHenry County, Illinois,862,4321,90,46,83,0
McLean County, Illinois,139,1912,260,0,15,0
Macon County, Illinois,29,1034,327,0,14,0
Macoupin County, Illinois,5,437,0,0,0,0
Madison County, Illinois,96,2736,450,0,40,0
Marion County, Illinois,11,463,31,0,8,0
Marshall County, Illinois,0,148,0,0,0,0
Mason County, Illinois,0,197,0,0,0,0
Massac County, Illinois,0,162,24,0,0,0
Menard County, Illinois,9,223,0,0,0,0
Mercer County, Illinois,0,209,6,0,3,0
Monroe County, Illinois,16,396,0,0,0,0
Montgomery County, Illinois,18,247,40,0,0,0
Morgan County, Illinois,13,277,85,0,0,0
Moultrie County, Illinois,0,180,0,0,0,0
Ogle County, Illinois,21,688,0,3,0,0
Peoria County, Illinois,161,1407,782,0,70,0
Perry County, Illinois,9,358,73,0,0,0
Piatt County, Illinois,7,246,3,0,0,0
Pike County, Illinois,6,176,17,0,0,0
Pope County, Illinois,0,67,5,0,0,0
Pulaski County, Illinois,5,40,33,0,0,0
Putnam County, Illinois,8,44,1,0,0,0
Randolph County, Illinois,0,224,51,0,0,0
Richland County, Illinois,0,159,1,0,0,0
Rock Island County, Illinois,361,1269,303,0,25,0
St. Clair County, Illinois,230,2112,1281,0,53,0
Saline County, Illinois,2,246,25,0,0,0
Sangamon County, Illinois,133,1889,555,5,14,0
Schuyler County, Illinois,0,70,0,0,0,0
Scott County, Illinois,0,78,0,0,0,0
Shelby County, Illinois,0,361,3,0,8,0
Stark County, Illinois,2,88,0,0,0,0
Stephenson County, Illinois,27,484,166,0,0,0
Tazewell County, Illinois,78,1521,17,0,7,0
Union County, Illinois,10,122,26,0,0,0
Vermilion County, Illinois,19,704,223,0,20,0
Wabash County, Illinois,0,176,0,0,0,0
Warren County, Illinois,24,141,22,0,0,0
Washington County, Illinois,6,176,3,0,0,0
Wayne County, Illinois,0,159,0,0,0,0
White County, Illinois,2,236,0,0,0,0
Whiteside County, Illinois,106,508,23,10,0,0
Will County, Illinois,2311,7624,1909,49,547,32
Williamson County, Illinois,30,645,113,0,0,0
Winnebago County, Illinois,502,2576,781,21,59,0
Woodford County, Illinois,22,549,20,0,0,0
Adams County, Indiana,10,343,15,0,0,0
Allen County, Indiana,536,4079,890,12,173,23
Bartholomew County, Indiana,107,1008,62,0,11,0
Benton County, Indiana,2,120,0,0,0,0
Blackford County, Indiana,13,168,5,0,0,0
Boone County, Indiana,23,868,19,10,59,0
Brown County, Indiana,0,262,3,0,0,0
Carroll County, Indiana,9,306,0,0,0,0
Cass County, Indiana,32,551,11,0,16,3
Clark County, Indiana,118,1306,86,0,65,0
Clay County, Indiana,0,479,0,0,6,0
Clinton County, Indiana,47,441,62,0,0,0
Crawford County, Indiana,0,118,0,14,0,0
Daviess County, Indiana,0,315,18,0,13,0
Dearborn County, Indiana,59,741,0,0,14,0
Decatur County, Indiana,0,391,10,0,0,0
DeKalb County, Indiana,44,469,0,0,0,0
Delaware County, Indiana,82,1033,74,0,17,0
Dubois County, Indiana,111,597,0,0,0,0
Elkhart County, Indiana,321,2245,154,0,39,0
Fayette County, Indiana,0,326,5,0,0,0
Floyd County, Indiana,1,898,29,0,11,0
Fountain County, Indiana,0,278,0,0,0,0
Franklin County, Indiana,13,570,1,0,0,0
Fulton County, Indiana,5,305,0,0,0,0
Gibson County, Indiana,28,333,24,0,0,0
Grant County, Indiana,103,827,71,0,0,0
Greene County, Indiana,10,390,2,0,0,0
Hamilton County, Indiana,223,3765,214,0,146,0
Hancock County, Indiana,34,790,100,0,0,0
Harrison County, Indiana,0,574,0,0,0,0
Hendricks County, Indiana,93,2035,321,0,51,0
Henry County, Indiana,0,863,52,0,0,0
Howard County, Indiana,35,808,199,0,40,0
Huntington County, Indiana,3,553,0,0,0,0
Jackson County, Indiana,35,408,1,0,0,0
Jasper County, Indiana,42,482,13,0,0,0
Jay County, Indiana,0,234,1,0,0,0
Jefferson County, Indiana,13,265,24,0,0,0
Jennings County, Indiana,30,496,0,0,0,0
Johnson County, Indiana,80,1788,10,0,57,0
Knox County, Indiana,0,261,0,0,0,0
Kosciusko County, Indiana,124,914,8,0,36,0
LaGrange County, Indiana,50,228,0,0,0,0
Lake County, Indiana,1632,2987,2513,36,102,0
LaPorte County, Indiana,102,1220,503,0,26,0
Lawrence County, Indiana,0,531,7,0,18,0
Madison County, Indiana,56,1405,186,0,9,0
Marion County, Indiana,1156,5917,4910,73,273,0
Marshall County, Indiana,122,483,15,0,0,0
Martin County, Indiana,0,115,0,0,0,0
Miami County, Indiana,0,415,64,0,0,0
Monroe County, Indiana,47,849,60,0,72,0
Montgomery County, Indiana,47,378,0,0,0,0
Morgan County, Indiana,28,813,20,0,0,0
Newton County, Indiana,36,178,0,0,0,0
Noble County, Indiana,23,718,7,0,9,0
Ohio County, Indiana,0,51,0,0,0,0
Orange County, Indiana,11,236,0,0,0,0
Owen County, Indiana,3,259,0,0,0,0
Parke County, Indiana,9,233,84,0,0,0
Perry County, Indiana,0,333,0,0,0,0
Pike County, Indiana,0,115,0,0,0,0
Porter County, Indiana,227,1934,85,9,42,0
Posey County, Indiana,39,404,12,0,0,0
Pulaski County, Indiana,4,162,0,0,9,0
Putnam County, Indiana,0,587,73,0,0,0
Randolph County, Indiana,8,196,7,0,0,0
Ripley County, Indiana,0,490,0,0,0,0
Rush County, Indiana,0,174,0,0,0,0
St. Joseph County, Indiana,339,2243,703,8,120,0
Scott County, Indiana,0,329,0,0,0,0
Shelby County, Indiana,21,603,1,30,0,0
Spencer County, Indiana,13,315,0,0,0,0
Starke County, Indiana,51,338,0,0,0,0
Steuben County, Indiana,5,451,0,0,0,0
Sullivan County, Indiana,0,185,8,0,0,0
Switzerland County, Indiana,0,156,0,0,0,0
Tippecanoe County, Indiana,165,941,106,3,66,0
Tipton County, Indiana,0,255,0,0,0,0
Union County, Indiana,16,90,0,0,0,0
Vanderburgh County, Indiana,34,1270,258,0,0,0
Vermillion County, Indiana,0,199,0,0,0,0
Vigo County, Indiana,3,938,179,0,14,12
Wabash County, Indiana,1,360,0,0,0,0
Warren County, Indiana,0,166,0,0,0,0
Warrick County, Indiana,34,723,0,0,25,0
Washington County, Indiana,10,316,0,0,0,0
Wayne County, Indiana,15,695,35,0,31,0
Wells County, Indiana,11,395,0,0,14,0
White County, Indiana,7,239,0,0,0,0
Whitley County, Indiana,13,430,3,0,0,0
Adair County, Iowa,0,180,0,2,0,0
Adams County, Iowa,0,62,1,0,0,0
Allamakee County, Iowa,10,257,0,0,1,0
Appanoose County, Iowa,7,120,2,2,3,0
Audubon County, Iowa,0,86,0,0,0,0
Benton County, Iowa,6,504,12,0,0,0
Black Hawk County, Iowa,69,1120,407,8,34,0
Boone County, Iowa,0,366,60,0,0,0
Bremer County, Iowa,14,479,0,0,0,0
Buchanan County, Iowa,0,348,1,6,0,0
Buena Vista County, Iowa,102,204,7,0,52,0
Butler County, Iowa,19,177,0,0,0,0
Calhoun County, Iowa,4,121,59,0,0,0
Carroll County, Iowa,0,320,0,0,0,0
Cass County, Iowa,3,156,0,2,0,0
Cedar County, Iowa,0,322,0,0,0,0
Cerro Gordo County, Iowa,11,444,19,0,80,0
Cherokee County, Iowa,2,172,2,0,1,0
Chickasaw County, Iowa,4,181,0,0,6,0
Clarke County, Iowa,0,107,0,0,0,0
Clay County, Iowa,0,292,0,1,10,0
Clayton County, Iowa,7,190,0,0,0,0
Clinton County, Iowa,40,650,12,0,7,0
Crawford County, Iowa,128,232,19,8,0,0
Dallas County, Iowa,81,795,2,0,20,0
Davis County, Iowa,0,97,0,0,0,0
Decatur County, Iowa,0,124,0,0,0,0
Delaware County, Iowa,0,342,0,0,0,0
Des Moines County, Iowa,10,469,32,14,0,0
Dickinson County, Iowa,0,91,1,0,0,0
Dubuque County, Iowa,22,1032,3,0,4,0
Emmet County, Iowa,20,62,0,0,0,0
Fayette County, Iowa,13,315,0,8,0,0
Floyd County, Iowa,18,221,0,0,0,0
Franklin County, Iowa,3,131,3,0,0,0
Fremont County, Iowa,0,114,0,0,0,0
Greene County, Iowa,9,139,0,0,0,0
Grundy County, Iowa,0,187,0,0,0,0
Guthrie County, Iowa,0,118,5,0,0,0
Hamilton County, Iowa,42,176,0,0,0,0
Hancock County, Iowa,10,143,0,0,7,0
Hardin County, Iowa,25,234,25,0,0,0
Harrison County, Iowa,0,313,0,0,0,0
Henry County, Iowa,0,229,5,0,0,0
Howard County, Iowa,0,81,0,0,0,0
Humboldt County, Iowa,1,87,1,0,1,0
Ida County, Iowa,2,74,0,0,0,0
Iowa County, Iowa,22,241,0,1,0,0
Jackson County, Iowa,60,308,0,0,0,2
Jasper County, Iowa,16,472,32,14,0,0
Jefferson County, Iowa,0,170,0,0,58,0
Johnson County, Iowa,263,879,220,0,38,0
Jones County, Iowa,37,203,15,0,0,0
Keokuk County, Iowa,0,124,0,0,0,0
Kossuth County, Iowa,12,199,0,0,2,0
Lee County, Iowa,75,441,1,26,0,0
Linn County, Iowa,92,2160,155,0,16,0
Louisa County, Iowa,35,107,0,0,0,0
Lucas County, Iowa,7,54,0,0,0,0
Lyon County, Iowa,6,113,0,0,3,0
Madison County, Iowa,7,175,2,0,0,0
Mahaska County, Iowa,0,272,0,0,0,0
Marion County, Iowa,0,374,0,0,2,0
Marshall County, Iowa,173,426,0,0,0,0
Mills County, Iowa,65,245,0,0,0,0
Mitchell County, Iowa,0,62,0,0,0,0
Monona County, Iowa,4,102,0,0,0,0
Monroe County, Iowa,0,200,0,0,0,0
Montgomery County, Iowa,45,167,0,0,0,0
Muscatine County, Iowa,88,598,0,15,0,0
O'Brien County, Iowa,15,221,0,0,16,0
Osceola County, Iowa,0,50,2,0,0,0
Page County, Iowa,64,251,26,0,6,0
Palo Alto County, Iowa,0,105,0,0,0,0
Plymouth County, Iowa,18,495,0,0,0,0
Pocahontas County, Iowa,0,128,0,0,0,0
Polk County, Iowa,570,4515,412,0,248,0
Pottawattamie County, Iowa,36,1188,24,20,0,0
Poweshiek County, Iowa,7,238,8,0,0,0
Ringgold County, Iowa,0,56,0,0,0,0
Sac County, Iowa,5,88,0,5,0,0
Scott County, Iowa,231,1555,296,1,78,0
Shelby County, Iowa,0,137,0,0,0,0
Sioux County, Iowa,27,322,2,0,0,0
Story County, Iowa,19,520,69,0,34,0
Tama County, Iowa,15,298,6,36,0,0
Taylor County, Iowa,4,65,0,0,0,0
Union County, Iowa,0,200,0,0,0,0
Van Buren County, Iowa,0,75,0,0,0,0
Wapello County, Iowa,77,384,17,0,0,0
Warren County, Iowa,41,509,0,0,0,0
Washington County, Iowa,10,269,0,0,0,0
Wayne County, Iowa,4,98,0,0,10,0
Webster County, Iowa,39,410,128,1,9,0
Winnebago County, Iowa,22,170,4,0,0,0
Winneshiek County, Iowa,0,178,0,0,23,0
Woodbury County, Iowa,331,1139,21,89,59,0
Worth County, Iowa,0,50,0,0,0,0
Wright County, Iowa,19,135,0,0,0,0
Allen County, Kansas,2,200,0,0,0,0
Anderson County, Kansas,0,72,0,0,0,0
Atchison County, Kansas,1,178,7,24,0,0
Barber County, Kansas,0,47,0,0,0,0
Barton County, Kansas,68,453,8,0,0,6
Bourbon County, Kansas,7,235,0,0,7,0
Brown County, Kansas,0,104,4,8,0,0
Butler County, Kansas,17,1228,139,0,8,0
Chase County, Kansas,0,68,0,0,0,0
Chautauqua County, Kansas,0,32,0,0,0,0
Cherokee County, Kansas,0,345,0,71,0,0
Cheyenne County, Kansas,3,24,0,0,0,0
Clark County, Kansas,0,37,0,0,0,0
Clay County, Kansas,0,80,0,0,0,0
Cloud County, Kansas,0,151,0,0,0,0
Coffey County, Kansas,2,172,5,0,0,0
Comanche County, Kansas,5,32,0,0,0,0
Cowley County, Kansas,61,463,2,66,28,0
Crawford County, Kansas,27,298,15,4,112,0
Decatur County, Kansas,0,16,0,0,2,0
Dickinson County, Kansas,0,250,0,0,0,0
Doniphan County, Kansas,3,82,11,0,0,0
Douglas County, Kansas,36,825,35,21,14,0
Edwards County, Kansas,7,28,0,0,2,0
Elk County, Kansas,0,22,3,1,0,0
Ellis County, Kansas,71,211,0,0,2,0
Ellsworth County, Kansas,0,57,6,0,0,0
Finney County, Kansas,359,172,18,3,11,0
Ford County, Kansas,487,267,29,0,18,0
Franklin County, Kansas,119,362,0,0,0,0
Geary County, Kansas,62,125,45,0,0,0
Gove County, Kansas,1,30,0,0,0,0
Graham County, Kansas,5,31,0,0,0,0
Grant County, Kansas,32,36,0,0,0,0
Gray County, Kansas,4,60,0,0,0,0
Greeley County, Kansas,8,6,3,0,0,0
Greenwood County, Kansas,0,30,0,0,0,0
Hamilton County, Kansas,10,24,0,0,0,0
Harper County, Kansas,9,31,0,0,0,0
Harvey County, Kansas,80,591,4,0,0,0
Haskell County, Kansas,16,53,0,18,0,0
Hodgeman County, Kansas,11,15,0,0,0,0
Jackson County, Kansas,7,175,0,19,0,3
Jefferson County, Kansas,4,315,3,0,0,0
Jewell County, Kansas,2,37,0,0,1,0
Johnson County, Kansas,294,6115,297,68,256,0
Kearny County, Kansas,19,26,0,0,0,0
Kingman County, Kansas,0,68,0,0,0,0
Kiowa County, Kansas,5,28,0,0,0,0
Labette County, Kansas,0,214,5,16,0,0
Lane County, Kansas,0,17,0,0,0,0
Leavenworth County, Kansas,124,1132,163,0,0,0
Lincoln County, Kansas,0,59,0,0,3,0
Linn County, Kansas,0,189,0,0,0,0
Logan County, Kansas,0,54,0,0,0,0
Lyon County, Kansas,136,283,25,0,0,0
McPherson County, Kansas,0,395,6,0,0,0
Marion County, Kansas,12,199,1,12,0,0
Marshall County, Kansas,9,81,0,0,0,0
Meade County, Kansas,14,74,0,0,0,0
Miami County, Kansas,15,532,23,0,0,0
Mitchell County, Kansas,9,24,0,0,0,0
Montgomery County, Kansas,39,326,61,41,0,0
Morris County, Kansas,2,147,0,0,0,0
Morton County, Kansas,44,19,0,0,0,0
Nemaha County, Kansas,5,173,8,0,0,0
Neosho County, Kansas,0,207,0,4,0,0
Ness County, Kansas,28,35,0,0,0,0
Norton County, Kansas,0,116,6,0,0,0
Osage County, Kansas,18,277,0,7,0,0
Osborne County, Kansas,3,59,0,0,1,0
Ottawa County, Kansas,0,87,0,0,0,0
Pawnee County, Kansas,1,97,27,0,0,0
Phillips County, Kansas,0,96,0,0,0,0
Pottawatomie County, Kansas,35,187,0,0,0,0
Pratt County, Kansas,32,81,10,0,0,0
Rawlins County, Kansas,1,26,0,0,0,0
Reno County, Kansas,138,692,34,0,0,0
Republic County, Kansas,0,52,0,0,0,0
Rice County, Kansas,19,149,0,0,0,0
Riley County, Kansas,177,411,143,0,14,0
Rooks County, Kansas,0,68,0,0,0,0
Rush County, Kansas,0,45,0,0,0,0
Russell County, Kansas,0,45,0,4,0,0
Saline County, Kansas,111,573,48,0,25,0
Scott County, Kansas,0,38,0,0,0,0
Sedgwick County, Kansas,1308,4824,960,100,261,0
Seward County, Kansas,153,63,0,0,0,0
Shawnee County, Kansas,306,1411,181,39,13,0
Sheridan County, Kansas,0,22,0,0,0,0
Sherman County, Kansas,11,82,0,0,0,0
Smith County, Kansas,0,38,0,0,0,0
Stafford County, Kansas,16,86,0,0,0,0
Stanton County, Kansas,12,13,0,0,0,0
Stevens County, Kansas,49,24,0,0,7,0
Sumner County, Kansas,55,285,0,0,0,0
Thomas County, Kansas,2,19,1,0,0,0
Trego County, Kansas,0,57,0,0,0,0
Wabaunsee County, Kansas,0,96,0,0,0,0
Wallace County, Kansas,0,20,0,0,0,0
Washington County, Kansas,4,65,0,0,0,0
Wichita County, Kansas,2,8,0,0,0,0
Wilson County, Kansas,3,88,0,6,0,0
Woodson County, Kansas,7,20,0,0,0,0
Wyandotte County, Kansas,666,626,732,7,40,0
Adair County, Kentucky,0,226,64,0,0,0
Allen County, Kentucky,0,259,16,0,0,0
Anderson County, Kentucky,14,224,0,0,6,0
Ballard County, Kentucky,10,79,10,0,0,0
Barren County, Kentucky,24,485,8,19,0,0
Bath County, Kentucky,0,180,11,0,0,0
Bell County, Kentucky,0,431,6,32,16,0
Boone County, Kentucky,31,1433,9,0,0,0
Bourbon County, Kentucky,8,297,42,0,0,0
Boyd County, Kentucky,21,659,72,0,0,0
Boyle County, Kentucky,49,292,8,0,6,0
Bracken County, Kentucky,0,51,0,0,0,0
Breathitt County, Kentucky,0,91,5,0,0,0
Breckinridge County, Kentucky,0,116,4,0,0,0
Bullitt County, Kentucky,58,1048,0,22,0,0
Butler County, Kentucky,15,189,3,23,0,0
Caldwell County, Kentucky,0,183,0,0,0,0
Calloway County, Kentucky,45,335,5,0,7,0
Campbell County, Kentucky,23,1168,35,0,7,0
Carlisle County, Kentucky,9,94,0,0,0,0
Carroll County, Kentucky,10,135,1,0,0,0
Carter County, Kentucky,66,414,12,0,0,0
Casey County, Kentucky,8,175,8,0,0,0
Christian County, Kentucky,69,557,398,0,0,0
Clark County, Kentucky,0,346,23,0,0,0
Clay County, Kentucky,12,324,34,0,0,0
Clinton County, Kentucky,0,48,0,0,0,0
Crittenden County, Kentucky,0,97,0,0,0,0
Cumberland County, Kentucky,0,72,0,0,0,0
Daviess County, Kentucky,12,1168,76,0,0,0
Edmonson County, Kentucky,0,173,7,9,0,0
Elliott County, Kentucky,0,140,20,0,0,0
Estill County, Kentucky,0,173,0,0,0,0
Fayette County, Kentucky,212,1654,817,34,90,9
Fleming County, Kentucky,0,234,8,0,0,0
Floyd County, Kentucky,8,406,8,0,13,0
Franklin County, Kentucky,7,446,34,0,24,0
Fulton County, Kentucky,0,107,37,0,0,0
Gallatin County, Kentucky,0,118,0,0,0,0
Garrard County, Kentucky,0,240,0,0,0,0
Grant County, Kentucky,4,357,0,0,0,25
Graves County, Kentucky,75,385,40,0,0,0
Grayson County, Kentucky,0,432,0,0,0,0
Green County, Kentucky,17,123,0,0,0,0
Greenup County, Kentucky,0,339,0,0,0,0
Hancock County, Kentucky,0,85,3,0,0,0
Hardin County, Kentucky,12,992,192,12,0,0
Harlan County, Kentucky,5,221,0,0,0,0
Harrison County, Kentucky,22,182,0,0,29,0
Hart County, Kentucky,0,295,29,0,0,0
Henderson County, Kentucky,10,549,66,0,0,0
Henry County, Kentucky,5,301,13,0,0,0
Hickman County, Kentucky,0,13,16,0,0,0
Hopkins County, Kentucky,0,392,49,0,0,0
Jackson County, Kentucky,0,177,0,0,0,0
Jefferson County, Kentucky,539,5267,2586,2,291,0
Jessamine County, Kentucky,0,593,27,0,14,0
Johnson County, Kentucky,0,283,0,0,0,0
Kenton County, Kentucky,81,2185,144,0,145,0
Knott County, Kentucky,0,125,0,0,0,0
Knox County, Kentucky,0,324,13,0,0,0
Larue County, Kentucky,14,344,14,0,0,0
Laurel County, Kentucky,0,593,0,0,18,0
Lawrence County, Kentucky,0,104,0,0,0,0
Lee County, Kentucky,0,118,0,0,0,0
Leslie County, Kentucky,0,127,0,0,0,0
Letcher County, Kentucky,9,363,0,0,0,0
Lewis County, Kentucky,0,197,0,0,0,0
Lincoln County, Kentucky,0,395,0,0,0,0
Livingston County, Kentucky,4,103,10,0,0,0
Logan County, Kentucky,0,281,15,0,0,0
Lyon County, Kentucky,0,94,19,0,0,0
McCracken County, Kentucky,22,722,115,12,66,0
McCreary County, Kentucky,16,163,26,0,0,0
McLean County, Kentucky,0,124,0,0,0,0
Madison County, Kentucky,0,798,53,0,0,0
Magoffin County, Kentucky,0,171,0,0,0,0
Marion County, Kentucky,24,193,84,0,0,0
Marshall County, Kentucky,56,301,0,0,0,0
Martin County, Kentucky,31,81,15,7,0,0
Mason County, Kentucky,0,201,69,0,0,0
Meade County, Kentucky,26,327,17,0,0,0
Menifee County, Kentucky,0,42,14,0,0,0
Mercer County, Kentucky,0,342,0,0,0,0
Metcalfe County, Kentucky,0,65,0,0,0,0
Monroe County, Kentucky,0,86,0,0,0,0
Montgomery County, Kentucky,0,417,2,0,0,0
Morgan County, Kentucky,4,245,23,0,0,0
Muhlenberg County, Kentucky,6,401,39,0,0,27
Nelson County, Kentucky,17,505,19,0,0,0
Nicholas County, Kentucky,0,81,0,0,0,0
Ohio County, Kentucky,0,240,0,0,0,0
Oldham County, Kentucky,49,957,127,0,0,0
Owen County, Kentucky,24,66,0,0,0,0
Owsley County, Kentucky,0,60,0,0,0,0
Pendleton County, Kentucky,0,241,0,0,0,0
Perry County, Kentucky,0,322,0,9,9,0
Pike County, Kentucky,13,807,0,0,9,0
Powell County, Kentucky,0,133,0,0,0,0
Pulaski County, Kentucky,0,932,18,0,0,0
Robertson County, Kentucky,0,0,0,0,0,0
Rockcastle County, Kentucky,0,203,0,0,0,0
Rowan County, Kentucky,0,294,15,0,0,0
Russell County, Kentucky,0,182,0,0,0,0
Scott County, Kentucky,33,578,43,0,0,0
Shelby County, Kentucky,42,687,214,0,0,0
Simpson County, Kentucky,39,184,0,0,0,0
Spencer County, Kentucky,0,273,42,0,0,0
Taylor County, Kentucky,12,176,46,0,0,0
Todd County, Kentucky,10,81,10,0,0,0
Trigg County, Kentucky,0,227,69,0,0,0
Trimble County, Kentucky,0,91,0,0,0,0
Union County, Kentucky,31,229,117,3,0,0
Warren County, Kentucky,46,894,50,9,6,0
Washington County, Kentucky,0,166,51,0,0,0
Wayne County, Kentucky,0,393,0,0,0,0
Webster County, Kentucky,0,155,0,27,0,0
Whitley County, Kentucky,16,581,10,0,14,0
Wolfe County, Kentucky,0,130,0,0,0,0
Woodford County, Kentucky,0,253,28,0,0,2
Acadia Parish, Louisiana,0,497,189,0,0,0
Allen Parish, Louisiana,24,136,46,0,3,0
Ascension Parish, Louisiana,59,1079,524,0,0,0
Assumption Parish, Louisiana,0,89,53,0,0,0
Avoyelles Parish, Louisiana,6,285,163,0,0,0
Beauregard Parish, Louisiana,25,290,130,2,5,0
Bienville Parish, Louisiana,0,118,46,0,0,0
Bossier Parish, Louisiana,217,711,248,9,0,0
Caddo Parish, Louisiana,141,1159,1630,0,35,0
Calcasieu Parish, Louisiana,127,1773,506,52,24,0
Caldwell Parish, Louisiana,0,116,28,0,0,0
Cameron Parish, Louisiana,0,109,1,0,0,0
Catahoula Parish, Louisiana,4,63,16,0,0,0
Claiborne Parish, Louisiana,0,54,105,0,0,0
Concordia Parish, Louisiana,0,114,146,0,0,0
De Soto Parish, Louisiana,3,192,152,0,0,0
East Baton Rouge Parish, Louisiana,96,1644,4074,0,194,0
East Carroll Parish, Louisiana,0,0,96,0,0,0
East Feliciana Parish, Louisiana,0,149,163,0,0,0
Evangeline Parish, Louisiana,42,158,101,0,0,0
Franklin Parish, Louisiana,0,168,112,0,0,0
Grant Parish, Louisiana,36,159,84,0,0,0
Iberia Parish, Louisiana,23,449,435,0,0,0
Iberville Parish, Louisiana,32,89,362,0,0,0
Jackson Parish, Louisiana,0,191,27,0,0,0
Jefferson Parish, Louisiana,656,2690,1736,110,180,11
Jefferson Davis Parish, Louisiana,29,315,101,0,0,0
Lafayette Parish, Louisiana,178,1560,1241,0,35,0
Lafourche Parish, Louisiana,25,920,272,15,13,0
La Salle Parish, Louisiana,2,179,89,0,0,0
Lincoln Parish, Louisiana,19,328,355,0,0,0
Livingston Parish, Louisiana,164,1287,176,0,10,0
Madison Parish, Louisiana,0,65,71,0,0,0
Morehouse Parish, Louisiana,0,126,128,0,0,0
Natchitoches Parish, Louisiana,7,243,236,15,0,0
Orleans Parish, Louisiana,144,489,3986,54,134,0
Ouachita Parish, Louisiana,0,1079,649,0,23,0
Plaquemines Parish, Louisiana,0,213,70,0,0,0
Pointe Coupee Parish, Louisiana,0,167,86,0,0,0
