"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"594","Oklahoma Baptist University","Shawnee","Oklahoma","74801",338,16,23,6,11,282
"153","Chatham College","Pittsburgh","Pennsylvania","15232",337,24,1,5,7,300
"662","Rider University","Lawrenceville","New Jersey","8648",336,24,2,20,21,269
"241","Dickinson State University","Dickinson","North Dakota","58601",335,10,7,6,7,305
"1009","University of the South","Sewanee","Tennessee","37375",335,15,3,10,12,295
"240","DeVry Institute of Technology (Unknown City, NJ)","Unknown City","New Jersey","?????",333,45,2,29,67,190
"126","Cameron University","Lawton","Oklahoma","73505",331,27,19,16,23,246
"615","Palm Beach Atlantic College","W Palm Beach","Florida","33402",330,18,3,18,37,254
"16","Anderson University","Anderson","Indiana","46012",329,12,1,2,6,308
"78","Birmingham Southern College","Birmingham","Alabama","35254",329,19,4,15,7,284
"81","Bluefield State College","Bluefield","West Virginia","24701",329,13,2,4,3,307
"209","Cornell College","Mount Vernon","Iowa","52314",329,10,4,11,14,290
"349","Hood College","Frederick","Maryland","21701",329,24,1,16,14,274
"714","South College (West Palm Beach, FL)","West Palm Beach","Florida","33409",329,150,1,13,52,113
"196","Columbia College (Columbia, MO)","Columbia","Missouri","65216",326,24,1,7,13,281
"542","National College","Rapid City","South Dakota","57701",326,38,8,9,21,250
"623","Pepperdine University (Malibu, CA)","","","",324,19,3,42,31,229
"720","Southern Arkansas University, All Campuses","Magnolia","Arkansas","71753",324,44,3,2,10,265
"884","University of Dubuque","Dubuque","Iowa","52001",324,27,5,10,6,276
"664","Roanoke College","Salem","Virginia","24153",322,9,1,4,4,304
"335","Hartwick College","Oneonta","New York","13820",319,15,2,12,15,275
"603","Oral Roberts University","Tulsa","Oklahoma","74171",319,39,9,19,20,232
"14","American University","Washington","District of Columbia","20016",318,19,1,37,15,246
"651","Reed College","Portland","Oregon","97202",318,7,6,40,15,250
"438","Lincoln University (Jefferson City, MO)","Jefferson City","Missouri","65102",314,89,3,8,5,209
"672","Rollins College","Winter Park","Florida","32789",314,13,2,22,34,243
"765","St Mary's University of Minnesota","Winona","Minnesota","55987",314,44,1,7,5,257
"374","Iona College","New Rochelle","New York","10801",312,16,1,11,43,241
"609","Our Lady of Holy Cross College","New Orleans","Louisiana","70131",312,47,3,15,15,232
"182","College of St Mary","Omaha","Nebraska","68124",311,16,3,5,17,270
"185","College of the Ozarks","Point Lookout","Missouri","65726",311,3,1,1,5,301
"295","Franklin Pierce College","Rindge","New Hampshire","3461",309,6,2,1,9,291
"750","St Francis College (Brooklyn, NY)","Brooklyn","New York","11201",306,98,2,23,53,130
"204","Concordia University (Portland, OR)","Portland","Oregon","97211",305,13,3,24,15,250
"541","Muskingum College","New Concord","Ohio","43762",304,5,2,5,4,288
"674","Rosary College","River Forest","Illinois","60305",304,18,1,22,53,210
"92","Bridgewater College","Bridgewater","Virginia","22812",302,26,3,3,8,262
"906","University of Maine at Farmington","Farmington","Maine","4938",302,2,13,6,3,278
"767","St Mary College","Leavenworth","Kansas","66048",301,17,2,8,22,252
"165","Coe College","Cedar Rapids","Iowa","52402",299,4,1,3,3,288
"298","Friends University","Wichita","Kansas","67213",299,21,7,4,8,259
"426","Lawrence University","Appleton","Wisconsin","54912",299,7,2,7,5,278
"434","Lewis and Clark College","Portland","Oregon","97219",297,4,1,33,16,243
"613","Pacific Union College","Angwin","California","94508",297,12,1,131,43,110
"738","Southwestern University","Georgetown","Texas","78626",297,7,3,18,47,222
"575","Northland College","Ashland","Wisconsin","54806",296,2,2,4,7,281
"799","SUNY College of Agriculture & Tech Morrisville","Morrisville","New York","13408",296,18,3,1,10,264
"147","Chadron State College","Chadron","Nebraska","69337",295,3,1,2,9,280
"835","Transylvania University","Lexington","Kentucky","40508",294,6,1,8,4,275
"1055","Washington College","Chestertown","Maryland","21620",294,10,1,2,5,276
"2","Adams State College","Alamosa","Colorado","81102",291,12,7,5,59,208
"907","University of Maine at Fort Kent","Fort Kent","Maine","4743",291,1,3,1,2,284
"555","Niagara University","Niagara Falls","New York","14109",290,17,2,4,9,258
"222","Dallas Baptist University","Dallas","Texas","75211",289,57,3,15,29,185
"98","Bryant College","Smithfield","Rhode Island","2917",288,7,1,7,4,269
"135","Castleton State College","Castleton","Vermont","5735",287,2,2,3,7,273
"142","Central Methodist College","Fayette","Missouri","65248",287,4,2,4,6,271
"203","Concordia University (Irvine, CA)","Irvine","California","92715",287,8,1,56,34,188
"781","Stevens Henager College of Business","Ogden","Utah","84401",287,1,1,5,17,263
"1065","Wesley College (Dover, DE)","Dover","Delaware","19901",287,55,1,5,5,221
"212","Cumberland College","Williamsburg","Kentucky","40769",286,7,2,5,3,269
"577","Northwest Nazarene College","Nampa","Idaho","83686",284,4,1,8,15,256
"430","Lee College (Cleveland, TN)","Cleveland","Tennessee","37311",277,15,3,14,15,230
"59","Belhaven College","Jackson","Mississippi","39202",276,147,1,1,6,121
"440","Linfield College (McMinnville, OR)","","","",276,1,2,25,13,235
"412","Kenyon College","Gambier","Ohio","43022",274,10,2,20,10,232
"671","Rogers State College","Claremore","Oklahoma","74017",272,6,34,4,9,219
"844","Union College (Lincoln, NE)","Lincoln","Nebraska","68506",271,6,3,8,25,229
"396","Jamestown College","Jamestown","North Dakota","58401",265,2,1,4,1,257
"41","Austin College","Sherman","Texas","75090",263,2,1,65,19,176
"381","ITT Technical Institute (La Mesa, CA)","La Mesa","California","92041",263,36,1,44,77,105
"8","Alderson Broaddus College","Philippi","West Virginia","26416",261,2,2,5,1,251
"700","Seton Hill College","Greensburg","Pennsylvania","15601",261,11,1,3,4,242
"99","Bryn Mawr College","Bryn Mawr","Pennsylvania","19010",260,18,1,66,19,156
"139","Centenary College of Louisiana","Shreveport","Louisiana","71134",260,12,1,14,10,223
"721","Southern California College","Costa Mesa","California","92626",260,4,1,27,47,181
"407","Kansas Wesleyan University","Salina","Kansas","67401",259,10,1,7,20,221
"447","Louisiana College","Pineville","Louisiana","71359",259,31,2,12,1,213
"769","St Norbert College","De Pere","Wisconsin","54115",257,4,1,3,3,246
"742","Spring Hill College","Mobile","Alabama","36608",256,32,3,4,11,206
"636","Presbyterian College","Clinton","South Carolina","29325",254,6,2,1,8,237
"246","Drew University","Madison","New Jersey","7940",253,19,1,32,30,171
"79","Blessing Rieman College of Nursing","Quincy","Illinois","62301",252,12,1,8,4,227
"343","Herzing College of Technology","Madison","Wisconsin","53704",252,36,1,11,5,199
"166","Colby-Sawyer College","New London","New Hampshire","3257",251,4,4,1,2,240
"818","Texas A&M University-Texarkana","Texarkana","Texas","75505",251,29,5,5,11,201
"888","University of Great Falls","Great Falls","Montana","59405",250,7,5,11,13,214
"1010","University of the Virgin Islands","Saint Thomas","Virgin Islands","802",247,211,1,3,12,20
"937","University of Montevallo","Montevallo","Alabama","35115",246,29,1,4,4,208
"30","Art Institute of Pittsburgh","Pittsburgh","Pennsylvania","15222",245,25,2,7,12,199
"1057","Wayland Baptist University","Plainview","Texas","79072",245,39,3,11,59,133
"460","Lyndon State College","Lyndonville","Vermont","5851",244,6,1,4,4,229
"355","Illinois College","Jacksonville","Illinois","62650",243,6,2,1,8,226
"386","ITT Technical Institute (Tampa, FL)","Tampa","Florida","33634",243,44,2,12,53,132
"579","Northwestern College (St Paul, MN)","St Paul","Minnesota","55113",243,6,2,6,5,224
"643","Quincy University","Quincy","Illinois","62301",242,13,1,5,8,215
"332","Hanover College","Hanover","Indiana","47243",241,2,1,5,3,230
"647","Randolph-Macon College","Ashland","Virginia","23005",240,23,3,9,5,200
"65","Beloit College","Beloit","Wisconsin","53511",239,8,1,9,12,209
"532","Mount Marty College","Yankton","South Dakota","57078",239,2,3,1,3,230
"832","Thomas More College","Crestview Hls","Kentucky","41017",237,5,1,1,3,227
"467","Manchester College","N Manchester","Indiana","46962",236,5,3,3,10,215
"580","Northwestern Oklahoma State University","Alva","Oklahoma","73717",236,2,7,3,6,218
"330","Hampshire College","Amherst","Massachusetts","1002",235,7,2,4,15,207
"506","Midland Lutheran College","Fremont","Nebraska","68025",235,13,1,4,5,212
"607","Ottawa University","Ottawa","Kansas","66067",235,26,6,5,17,181
"801","SUNY College of Technology at Canton","Canton","New York","13617",235,33,1,7,8,186
"251","Earlham College","Richmond","Indiana","47374",234,19,2,5,8,200
"486","McMurry University","Abilene","Texas","79697",232,20,2,2,40,168
"198","Columbia Junior College","Columbia","South Carolina","29203",231,152,14,10,4,51
"562","North Carolina Wesleyan College","Rocky Mount","North Carolina","27804",228,104,2,9,5,108
"107","California Maritime Academy","Vallejo","California","94590",227,5,2,40,21,159
"269","Edison Community College","Fort Myers","Florida","33906",227,49,1,5,22,150
"862","University of Bridgeport (Bridgeport, CT)","","","",226,25,2,32,24,143
"388","ITT Technical Institute (Unknown City, CA)","Unknown City","California","?????",221,26,1,12,99,83
"763","St Mary's College of California","Moraga","California","94575",221,7,4,37,36,137
"360","Indiana Institute of Technology","Fort Wayne","Indiana","46803",220,11,2,3,4,200
"420","Lake Forest College","Lake Forest","Illinois","60045",220,8,2,15,13,182
"398","John Bastyr College of Naturopathic Medicine","Seattle","Washington","98105",218,5,3,21,13,176
"537","Mount St Mary's College and Seminary","Emmitsburg","Maryland","21727",218,18,1,10,17,172
"808","SUNY Purchase College","Purchase","New York","10577",218,21,1,19,31,146
"194","Colorado Tech","Colorado Spg","Colorado","80907",216,11,1,11,19,174
"376","Iowa Wesleyan College","Mt Pleasant","Iowa","52641",216,23,1,3,17,172
"490","Medcenter One College of Nursing","Bismarck","North Dakota","58501",214,5,1,2,2,204
"669","Rocky Mountain College","Billings","Montana","59102",214,1,15,2,6,190
"794","SUNY College at Old Westbury","Old Westbury","New York","11568",213,71,2,46,37,57
"373","International Fine Arts College","Miami","Florida","33132",212,33,1,11,85,82
"417","La Roche College","Pittsburgh","Pennsylvania","15237",210,5,1,1,4,199
"4","Adrian College","Adrian","Michigan","49221",208,3,1,1,5,198
"489","Medaille College","Buffalo","New York","14214",204,6,4,5,2,187
"696","Schreiner College","Kerrville","Texas","78028",204,6,1,1,70,126
"29","Art Institute of Philadelphia","Philadelphia","Pennsylvania","19103",203,35,1,8,27,132
"67","Benedictine College","Atchison","Kansas","66002",203,2,2,3,17,179
"232","Denver Institute of Technology","Denver","Colorado","80221",200,9,2,13,21,155
"695","School of Visual Arts","New York","New York","10010",200,5,1,61,33,100
"458","Lycoming College","Williamsport","Pennsylvania","17701",198,6,1,1,2,188
"446","Louise Salinger Academy of Fashion","San Francisco","California","94105",194,18,1,39,56,80
"384","ITT Technical Institute (Seattle, WA; FICE=8443)","Seattle","Washington","98168",192,16,4,23,11,138
"558","North Adams State College","North Adams","Massachusetts","1247",192,6,1,2,4,179
"297","Fresno Pacific College","Fresno","California","93702",191,13,4,18,42,114
"837","Trinity College (Washington, DC)","Washington","District of Columbia","20017",191,148,1,7,18,17
"383","ITT Technical Institute (Scl, UT)","Scl","Utah","84123",190,6,3,7,11,163
"53","Barton College","Wilson","North Carolina","27893",189,23,1,3,4,158
"276","Fairleigh Dickinson U Madison Campus","Madison","New Jersey","7940",188,16,1,17,15,139
"1046","Wabash College","Crawfordsvl","Indiana","47933",188,6,1,4,8,169
"1086","Westminster College (Fulton, MO)","Fulton","Missouri","65251",187,7,4,4,2,170
"103","Cabrini College","Radnor","Pennsylvania","19087",186,8,2,6,8,162
"488","McPherson College","Mcpherson","Kansas","67460",185,3,2,1,14,165
"1029","University of Wisconsin-Superior","Superior","Wisconsin","54880",185,1,3,2,1,178
"201","Concordia College (Bronxville, NY)","Bronxville","New York","10708",184,32,3,9,27,113
"28","Art Institute of Houston","Houston","Texas","?????",183,29,1,21,56,76
"20","Aquinas College (Grand Rapids, MI)","Grand Rapids","Michigan","49506",180,2,1,2,7,168
"389","ITT Technical Institute (Unknown City, NM)","Unknown City","New Mexico","?????",180,8,48,2,74,48
"703","Shorter College (Rome, GA)","Rome","Georgia","30161",179,14,1,8,6,150
"520","Monmouth College","Monmouth","Illinois","61462",178,6,1,1,10,160
"205","Concordia University at Austin","Austin","Texas","78705",177,19,2,8,38,110
"624","Pfeiffer University","Misenheimer","North Carolina","28109",176,34,1,2,5,134
"554","Newberry College","Newberry","South Carolina","29108",175,22,1,2,2,148
"399","John Brown University","Siloam Spg","Arkansas","72761",174,1,3,4,4,162
"263","Eastern Oregon State College","La Grande","Oregon","97850",172,2,4,12,4,150
"497","Methodist College","Fayetteville","North Carolina","28311",172,18,5,2,12,135
"385","ITT Technical Institute (St Louis, MO)","St Louis","Missouri","63108",169,41,1,6,2,119
"323","Green Mountain College","Poultney","Vermont","5764",168,5,2,3,5,153
"810","Sweet Briar College","Sweet Briar","Virginia","24595",168,3,2,1,10,152
"1104","Wingate University","Wingate","North Carolina","28174",168,7,1,7,5,148
"402","Johnson State College","Johnson","Vermont","5656",166,2,3,3,4,154
"299","Gallaudet University","Washington","District of Columbia","20002",164,11,4,16,11,122
"378","ITT Technical Institute (Buena Park, CA)","Buena Park","California","90620",163,8,5,32,59,59
"524","Montana State University - Northern","Havre","Montana","59501",163,1,17,3,1,141
"1092","Whittier College","Whittier","California","90608",163,1,5,20,52,85
"27","Art Institute of Fort Lauderdale","Ft Lauderdale","Florida","33316",162,29,1,6,76,50
"74","Bethel College (North Newton, KS)","North Newton","Kansas","67117",162,11,2,2,8,139
"1096","Wilberforce University","Wilberforce","Ohio","45384",162,150,4,1,2,5
"779","Stephens College","Columbia","Missouri","65215",160,22,5,9,8,116
"197","Columbia College (Columbia, SC)","Columbia","South Carolina","29203",158,49,1,5,5,98
"507","Midway College","Midway","Kentucky","40347",158,13,1,1,1,142
"382","ITT Technical Institute (Phoenix, AZ)","Phoenix","Arizona","85008",157,19,19,8,23,88
"576","Northwest College (Kirkland, WA)","Kirkland","Washington","98083",157,4,4,9,9,131
"329","Hampden-Sydney College","Hampden-Sydney","Virginia","23943",155,3,2,2,1,147
"979","University of South Carolina at Beaufort","Beaufort","South Carolina","29902",153,16,1,2,13,121
"802","SUNY College of Technology at Delhi","Delhi","New York","13753",152,23,2,6,9,112
"1081","Western New Mexico University","Silver City","New Mexico","88061",152,3,1,1,65,82
"600","Olivet College","Olivet","Michigan","49076",150,4,1,1,4,140
"904","University of La Verne","La Verne","California","91750",147,13,1,16,60,57
"189","Colorado Christian University (Lakewood, CO)","","","",143,3,1,4,14,121
"390","ITT Technical Institute (Unknown City, WI)","Unknown City","Wisconsin","?????",143,20,1,10,15,97
"317","Goucher College","Towson","Maryland","21204",142,10,1,9,7,115
"372","International Academy of Merchandising & Design","Unknown City","Florida","?????",142,36,1,1,28,76
"731","Southern University at New Orleans","New Orleans","Louisiana","70126",142,129,1,6,1,5
"747","St Bonaventure University","St Bonventure","New York","14778",142,2,2,33,2,103
"244","Dowling College","Oakdale Li","New York","11769",141,8,1,5,10,117
"256","East Texas Baptist University","Marshall","Texas","75670",141,10,2,6,8,115
"628","Pitzer College","Claremont","California","91711",141,5,2,18,28,88
"461","Lyon College","Batesville","Arkansas","72503",140,1,3,2,7,127
"692","Santa Fe Community College (Gainesville, FL)","Gainesville","Florida","32601",138,15,1,6,5,111
"315","Gordon College (Barnesville, GA)","Barnesville","Georgia","30204",137,43,1,6,5,82
"585","Oakland City University","Oakland City","Indiana","47660",137,32,1,1,4,99
"827","Texas Wesleyan University","Fort Worth","Texas","76105",136,33,3,12,33,55
"72","Bethel College (McKenzie, TN)","Mckenzie","Tennessee","38201",134,16,1,1,1,115
"162","Cleveland Chiropractic College of Kansas City","Kansas City","Missouri","64131",132,2,3,4,5,118
"975","University of Science and Arts of Oklahoma","Chickasha","Oklahoma","73018",129,4,9,3,9,104
"58","Becker College-Worcester","Worcester","Massachusetts","1609",128,1,2,5,7,113
"511","Mills College","Oakland","California","94613",126,16,3,24,33,50
"145","Central State University","Wilberforce","Ohio","45384",125,115,1,1,1,7
"693","Savannah College of Art and Design","Savannah","Georgia","31401",123,10,1,2,9,101
"708","Simpson College (Redding, CA)","Redding","California","96003",123,3,3,7,5,105
"574","Northern State University","Aberdeen","South Dakota","57401",122,2,2,1,1,116
"582","Northwood University","Midland","Michigan","48640",122,22,1,2,5,92
"589","Ohio Dominican College","Columbus","Ohio","43219",122,14,2,1,2,103
"191","Colorado Institute of Art","Denver","Colorado","80203",120,3,1,5,20,91
"94","Brigham Young University, Hawaii Campus","Laie Oahu","Hawaii","96762",113,2,2,44,3,62
"43","Averett College","Danville","Virginia","24541",107,19,1,1,4,82
"348","Holy Names College","Oakland","California","94619",106,25,1,24,17,39
"90","Brevard College","Brevard","North Carolina","28712",104,9,1,1,4,89
"342","Herzing College of Business and Technology","Atlanta","Georgia","30308",104,76,1,13,3,11
"391","ITT Technical Institute (Van Nuys, CA)","Van Nuys","California","91405",104,8,2,9,45,40
"176","College of Notre Dame","Belmont","California","94002",103,6,2,26,34,35
"102","Cabarrus College of Health Sciences","Unknown City","North Carolina","?????",102,10,1,2,3,86
"379","ITT Technical Institute (Fort Wayne, IN)","Fort Wayne","Indiana","46825",102,3,1,2,2,94
"223","Dalton College","Dalton","Georgia","30720",101,2,3,4,12,80
"245","Draughons Junior College","Montgomery","Alabama","36104",101,71,1,3,2,24
"464","Maharishi University of Management","Fairfield","Iowa","52556",100,6,1,5,9,79
"6","Alaska Pacific University","Anchorage","Alaska","99508",99,3,5,4,5,82
"148","Chaminade University of Honolulu","Honolulu","Hawaii","96816",99,1,2,66,8,22
"171","College of Aeronautics","Flushing","New York","11371",99,23,2,26,30,18
"648","Randolph-Macon Woman's College","Lynchburg","Virginia","24503",99,9,2,9,7,72
"476","Mary Baldwin College","Staunton","Virginia","24401",96,16,1,8,3,68
"207","Converse College","Spartanburg","South Carolina","29301",94,10,1,4,7,72
"152","Charter College","Anchorage","Alaska","99508",93,12,11,8,1,61
"745","St Andrews Presbyterian College","Laurinburg","North Carolina","28352",93,5,2,2,1,83
"267","ECPI Computer Institute-Capital Center","Richmond","Virginia","23230",91,24,1,3,1,62
"403","Jones College, All Campuses","Orlando","Florida","32810",91,65,1,3,3,19
"1077","Western International University","Phoenix","Arizona","85021",85,4,4,2,13,62
"758","St Joseph's College, Suffolk Campus","Patchogue","New York","11772",84,16,2,5,3,58
"26","Art Institute of Dallas","Dallas","Texas","?????",83,5,2,5,25,46
"387","ITT Technical Institute (Tucson, AZ)","Tucson","Arizona","85714",83,9,4,4,24,42
"548","New Hampshire College","Manchester","New Hampshire","3104",80,3,1,4,3,69
"1052","Warner Southern College","Lake Wales","Florida","33853",80,19,1,4,20,36
"649","Ranken Technical College","Saint Louis","Missouri","63113",78,10,1,1,1,65
"740","Spartan School of Aeronautics","Tulsa","Oklahoma","74158",77,7,2,3,9,56
"682","Salem College","Winston-Salem","North Carolina","27108",76,9,1,1,2,63
"63","Belmont Abbey College","Belmont","North Carolina","28012",70,5,1,2,7,55
"87","Bradley Academy for Visual Arts","York","Pennsylvania","17403",69,5,1,3,3,57
"478","Marymount Manhattan College","New York","New York","10021",69,5,1,3,16,44
"602","Olympic College","Bremerton","Washington","98310",67,3,1,6,6,51
"838","Trinity International Univ-Coll of Arts and Sci.","Deerfield","Illinois","60015",63,3,1,14,3,42
"312","Goddard College","Plainfield","Vermont","5667",57,1,1,1,4,50
"96","Brown Institute","Minneapolis","Minnesota","55407",50,3,1,4,1,41
"1051","Warner Pacific College","Portland","Oregon","97215",49,3,1,4,5,36
"706","Simon's Rock College of Bard","Gr Barrington","Massachusetts","1230",46,6,1,7,1,31
"313","Golden Gate University","San Francisco","California","94105",43,5,2,7,7,22
"341","Heritage College (Toppenish, WA)","Toppenish","Washington","98948",41,1,6,4,15,15
"33","Atlantic Union College","South Lancaster","Massachusetts","1561",38,11,1,3,15,8
"650","Rasmussen College St. Cloud","St Cloud","Minnesota","?????",25,2,1,1,1,20
