"","school","city","state","zip","total STEM degrees","total degrees Black","total degrees Native","total degrees AsianPI","total degrees Hispanic","total degrees White"
"190","Colorado College","Colorado Spg","Colorado","80903",707,8,7,50,40,602
"744","St Ambrose University","Davenport","Iowa","52803",706,7,4,10,30,655
"945","University of New Haven","West Haven","Connecticut","6516",706,41,4,28,51,582
"544","Nazareth College of Rochester","Rochester","New York","14618",704,40,2,19,22,621
"614","Pacific University","Forest Grove","Oregon","97116",704,8,6,195,30,465
"1050","Walsh University","Canton","Ohio","44720",702,16,4,8,7,667
"1087","Westminster College of Salt Lake City","Salt Lake City","Utah","84105",702,7,2,32,55,606
"477","Mary Washington College","Fredericksbg","Virginia","22401",701,17,2,56,28,598
"409","Keiser College of Technology","Ft Lauderdale","Florida","33319",700,242,1,15,138,304
"453","Loyola College","Baltimore","Maryland","21210",700,30,3,27,27,613
"539","Mount St Mary College (Newburgh, NY)","Newburgh","New York","12550",696,59,3,29,74,531
"104","CAD Institute Inc","Unknown City","Arizona","?????",694,31,4,34,50,575
"290","Fort Lewis College","Durango","Colorado","81301",692,6,135,4,43,504
"421","Lake Superior State University","Slt St Marie","Michigan","49783",687,5,26,4,5,647
"521","Monmouth University","W Long Branch","New Jersey","7764",687,38,1,40,42,566
"274","Emporia State University","Emporia","Kansas","66801",683,22,6,11,25,619
"169","Colgate University","Hamilton","New York","13346",682,7,2,47,40,586
"275","Fairfield University","Fairfield","Connecticut","6430",681,37,1,38,48,557
"893","University of Houston-Downtown","Houston","Texas","77002",681,126,2,141,238,174
"48","Baldwin-Wallace College","Berea","Ohio","44017",679,23,1,12,15,628
"265","Eckerd College","St Petersburg","Florida","33733",679,15,5,8,27,624
"466","Malone College","Canton","Ohio","44709",679,33,1,4,6,635
"776","State University of New York at New Platz","New Paltz","New York","12561",679,63,2,68,56,490
"719","Southeastern Oklahoma State University","Durant","Oklahoma","74701",678,25,222,11,17,403
"1114","Xavier University","Cincinnati","Ohio","45207",677,41,1,34,26,575
"39","Augustana College (Sioux Falls, SD)","Sioux Falls","South Dakota","57197",675,1,1,10,1,662
"1033","Ursuline College","Pepper Pike","Ohio","44124",675,130,1,19,9,516
"291","Framingham State College","Framingham","Massachusetts","1701",672,38,2,24,39,569
"638","Providence College","Providence","Rhode Island","2918",672,15,2,28,21,606
"457","Luther College","Decorah","Iowa","52101",666,4,3,12,9,638
"463","Macon College","Macon","Georgia","31297",666,200,3,19,16,428
"545","Nebraska Methodist Col Nursing & Allied Hlth","Omaha","Nebraska","68114",666,13,4,27,12,610
"882","University of Denver","Denver","Colorado","80208",665,12,6,75,40,532
"301","Gardner-Webb University","Boiling Spg","North Carolina","28017",664,79,3,7,14,561
"367","Indiana University Northwest","Gary","Indiana","46408",659,79,4,32,82,462
"505","Middlebury College","Middlebury","Vermont","5753",659,10,1,55,23,570
"701","Shenandoah University","Winchester","Virginia","22601",659,187,2,52,13,405
"894","University of Houston-Victoria","Victoria","Texas","77901",659,174,1,100,101,283
"36","Augsburg College","Minneapolis","Minnesota","55454",655,48,2,36,12,557
"413","Keuka College","Keuka Park","New York","14478",649,17,4,8,10,610
"910","University of Mary","Bismarck","North Dakota","58504",645,11,13,5,8,608
"1","Abilene Christian University","Abilene","Texas","79699",644,26,2,7,41,568
"722","Southern College of Seventh-Day Adventists","Collegedale","Tennessee","37315",644,57,4,68,87,428
"158","Clarkson College","Omaha","Nebraska","68131",641,27,3,7,17,587
"347","Holy Family College (Philadelphia, PA)","Philadelphia","Pennsylvania","19114",641,63,2,70,23,483
"471","Marian College","Indianapolis","Indiana","46222",639,76,3,9,16,535
"484","Massachusetts Maritime Academy","Buzzards Bay","Massachusetts","2532",637,5,2,11,8,611
"1075","Western Connecticut State University","Danbury","Connecticut","6810",636,46,1,37,42,510
"766","St Mary's University","San Antonio","Texas","78228",635,26,2,38,437,132
"642","Queens College","Charlotte","North Carolina","28274",633,121,4,32,27,449
"704","Siena College (Loudonville, NY)","Loudonville","New York","12211",630,18,2,47,19,544
"1062","Webster University","Saint Louis","Missouri","63119",629,85,1,18,9,516
"202","Concordia University-Wisconsin","Mequon","Wisconsin","53092",628,46,1,11,9,561
"270","Elizabethtown College","Elizabethtown","Pennsylvania","17022",625,8,1,21,5,590
"702","Shepherd College","Shepherdstown","West Virginia","25443",624,16,2,22,18,566
"1089","Wheaton College (Wheaton, IL)","Wheaton","Illinois","60187",621,10,3,44,22,542
"670","Roger Williams University","Bristol","Rhode Island","2809",617,13,1,10,19,574
"678","Rutgers the State Univ of NJ Camden Campus","Camden","New Jersey","8102",616,57,2,98,38,421
"277","Fairleigh Dickinson U, All Campuses","Teaneck","New Jersey","7666",614,125,1,143,100,245
"243","Dominican College of San Rafael","San Rafael","California","94901",611,33,7,270,85,216
"136","Catholic University of America","Washington","District of Columbia","20064",610,48,2,28,43,489
"52","Bartlesville Wesleyan College","Bartlesville","Oklahoma","74006",608,45,67,5,15,476
"677","Russell Sage College, All Campuses","Troy","New York","12180",605,48,3,25,14,515
"1049","Walla Walla College","College Place","Washington","99324",600,12,9,39,39,501
"439","Lindenwood College","Saint Charles","Missouri","63301",599,99,6,8,13,473
"481","Marywood College","Scranton","Pennsylvania","18509",598,5,2,22,14,555
"1102","Williams College","Williamstown","Massachusetts","1267",598,28,2,86,56,426
"31","Ashland University","Ashland","Ohio","44805",597,19,5,6,5,562
"280","Felician College","Lodi","New Jersey","7644",597,121,3,113,91,269
"608","Otterbein College","Westerville","Ohio","43081",597,28,2,11,6,550
"268","Edgewood College","Madison","Wisconsin","53711",596,10,1,13,14,558
"369","Indiana University Southeast","New Albany","Indiana","47150",595,26,3,13,13,540
"503","Mid-America Nazarene College","Olathe","Kansas","66061",592,106,3,19,18,446
"17","Andrews University","Berrien Spg","Michigan","49104",591,148,2,105,60,276
"759","St Lawrence University","Canton","New York","13617",591,11,2,13,18,547
